date,open,high,low,close,volume,oi
2024-10-07 09:15:00+05:30,85,85,50,55.6,767525,2090575
2024-10-07 09:16:00+05:30,55.6,56.45,52.2,53.85,561925,2090575
2024-10-07 09:17:00+05:30,53.85,58.5,53.6,58.05,340100,2090575
2024-10-07 09:18:00+05:30,58.05,59.7,56.65,59.4,264075,2545675
2024-10-07 09:19:00+05:30,59.55,72.7,59.55,68.25,269850,2545675
2024-10-07 09:20:00+05:30,68.25,75.25,66.7,68.9,364925,2545675
2024-10-07 09:21:00+05:30,68.9,69.7,60,61.65,239425,2654300
2024-10-07 09:22:00+05:30,61.65,67.9,60.85,67.9,153575,2654300
2024-10-07 09:23:00+05:30,67.9,70,67.05,67.2,162775,2654300
2024-10-07 09:24:00+05:30,67.2,67.55,64.55,65.2,176750,2691375
2024-10-07 09:25:00+05:30,65.2,68.35,61.5,68.35,153900,2691375
2024-10-07 09:26:00+05:30,68.25,77.3,67.35,73.4,209150,2691375
2024-10-07 09:27:00+05:30,73.4,74.6,69.1,70.85,156900,2728250
2024-10-07 09:28:00+05:30,70.65,73.75,66.05,66.45,167900,2728250
2024-10-07 09:29:00+05:30,66.45,71.9,66.45,70.05,108050,2728250
2024-10-07 09:30:00+05:30,70.05,73.8,66.8,73.8,131100,2730975
2024-10-07 09:31:00+05:30,73.6,75.55,70.35,72.8,215425,2730975
2024-10-07 09:32:00+05:30,71.65,79.75,71.05,79.45,223850,2730975
2024-10-07 09:33:00+05:30,79.45,79.45,74.35,74.8,190800,2723325
2024-10-07 09:34:00+05:30,74.9,76.4,69,70.3,143350,2723325
2024-10-07 09:35:00+05:30,70.3,71.75,67.45,68.6,80150,2723325
2024-10-07 09:36:00+05:30,68.55,72.2,68.4,68.8,80900,2740500
2024-10-07 09:37:00+05:30,68.4,69.35,62.1,65,179325,2740500
2024-10-07 09:38:00+05:30,65,69.95,63.75,69.6,67275,2740500
2024-10-07 09:39:00+05:30,69.6,70.9,65.8,66.65,122875,2793775
2024-10-07 09:40:00+05:30,66.65,70.6,66,67.6,68125,2793775
2024-10-07 09:41:00+05:30,67.6,68.05,64.25,68.05,76775,2793775
2024-10-07 09:42:00+05:30,68.05,71.5,67.55,71.5,92850,2832550
2024-10-07 09:43:00+05:30,71.5,72.8,66.5,68.2,83225,2832550
2024-10-07 09:44:00+05:30,68.2,69.85,67.6,69.25,31875,2832550
