date,open,high,low,close,volume,oi
2024-09-30 09:15:00+05:30,60,60,39.05,46.25,469850,2712000
2024-09-30 09:16:00+05:30,46.35,51,46.35,51,606375,2712000
2024-09-30 09:17:00+05:30,51.3,51.3,46.45,46.45,471550,2712000
2024-09-30 09:18:00+05:30,46,47.6,44.7,47.1,296050,2748450
2024-09-30 09:19:00+05:30,47.1,48.6,46.9,48.15,192500,2748450
2024-09-30 09:20:00+05:30,48.05,49.7,47.45,48.65,228625,2748450
2024-09-30 09:21:00+05:30,48.65,51.1,47.4,50.75,195675,2747300
2024-09-30 09:22:00+05:30,50.8,52.35,50.45,51.55,312125,2747300
2024-09-30 09:23:00+05:30,51.55,52.75,48.7,49.05,216475,2747300
2024-09-30 09:24:00+05:30,49.05,51.9,48.9,49.1,164075,2665150
2024-09-30 09:25:00+05:30,49.05,51.05,48.1,49.45,160225,2665150
2024-09-30 09:26:00+05:30,49.85,50.45,48.7,50.25,144200,2665150
2024-09-30 09:27:00+05:30,50.3,51.7,49.95,51.55,229800,2700250
2024-09-30 09:28:00+05:30,51.45,52.7,50.55,52,216650,2700250
2024-09-30 09:29:00+05:30,52.1,52.3,49.95,51.1,134675,2700250
2024-09-30 09:30:00+05:30,50.95,55.45,50.95,54.65,414925,2714625
2024-09-30 09:31:00+05:30,54.3,59.05,53.6,57.95,468475,2714625
2024-09-30 09:32:00+05:30,57.5,58.85,54,57.25,315500,2714625
2024-09-30 09:33:00+05:30,57.2,62.7,56.55,60.85,517750,2715325
2024-09-30 09:34:00+05:30,60.55,61.65,57.75,60.15,375825,2715325
2024-09-30 09:35:00+05:30,60.25,60.95,57.65,57.9,237900,2715325
2024-09-30 09:36:00+05:30,57.85,60.5,57.5,58.95,180225,2718800
2024-09-30 09:37:00+05:30,58.95,63.55,58.7,62.1,303600,2718800
2024-09-30 09:38:00+05:30,62.1,66.45,61.2,64.8,392350,2718800
2024-09-30 09:39:00+05:30,64.8,64.8,59.4,61.4,375275,2723525
2024-09-30 09:40:00+05:30,61.65,64.3,61.5,63.25,210950,2723525
2024-09-30 09:41:00+05:30,63.75,67.6,63.75,66.7,387925,2723525
2024-09-30 09:42:00+05:30,66.7,68,66.1,66.4,297375,2718850
2024-09-30 09:43:00+05:30,66.15,66.7,61.1,64.05,381275,2718850
2024-09-30 09:44:00+05:30,63.85,65.5,62.15,64.95,142100,2718850
2024-09-30 09:45:00+05:30,64.95,71,64.95,66.2,496775,2817550
2024-09-30 09:46:00+05:30,66.15,73.5,66.05,72.1,452200,2817550
