date,open,high,low,close,volume,oi
2024-09-24 09:15:00+05:30,46,46.85,37.85,46.55,373550,3158175
2024-09-24 09:16:00+05:30,46.35,49.55,44.1,48.35,213500,3158175
2024-09-24 09:17:00+05:30,48.15,50.95,47.2,49.1,186150,3158175
2024-09-24 09:18:00+05:30,48,49.15,45.5,46.6,195100,3246550
2024-09-24 09:19:00+05:30,46.6,51.25,46.25,50.05,232675,3246550
2024-09-24 09:20:00+05:30,50.05,51.9,46.95,47.95,207150,3246550
2024-09-24 09:21:00+05:30,47.95,48.7,46.5,48.2,140550,3262025
2024-09-24 09:22:00+05:30,48.3,51.3,48.3,50.75,154650,3262025
2024-09-24 09:23:00+05:30,51.05,53.55,50.85,52,226575,3262025
2024-09-24 09:24:00+05:30,52,52.1,48.9,48.9,235875,3295050
2024-09-24 09:25:00+05:30,48.9,49.6,47.35,48.7,140500,3295050
2024-09-24 09:26:00+05:30,48.95,49.85,46.25,46.5,199150,3295050
2024-09-24 09:27:00+05:30,46.5,47.9,45.65,46.8,176925,3356100
2024-09-24 09:28:00+05:30,46.8,49.25,46.4,47.5,104150,3356100
2024-09-24 09:29:00+05:30,47.5,49.4,47.4,48.65,172550,3356100
2024-09-24 09:30:00+05:30,48.65,49.25,45.1,47.05,172100,3492275
2024-09-24 09:31:00+05:30,47.05,47.15,45.95,45.95,112875,3492275
2024-09-24 09:32:00+05:30,45.95,47.5,45.45,46,112125,3492275
2024-09-24 09:33:00+05:30,46,47.65,45.75,47.2,78775,3542100
2024-09-24 09:34:00+05:30,47.2,49.35,47.2,48.55,186250,3542100
2024-09-24 09:35:00+05:30,48.55,51.75,47.95,50.15,253975,3542100
2024-09-24 09:36:00+05:30,50.15,52.05,49.3,51.25,150575,3587325
2024-09-24 09:37:00+05:30,51.25,54.6,50.4,53.35,245675,3587325
2024-09-24 09:38:00+05:30,53.45,54.25,50.25,50.25,233250,3587325
2024-09-24 09:39:00+05:30,50.25,51.9,49.1,51.7,259675,3649350
2024-09-24 09:40:00+05:30,51.85,52.8,50,50.25,94150,3649350
2024-09-24 09:41:00+05:30,50.65,51.4,49.25,50.2,90975,3649350
2024-09-24 09:42:00+05:30,50,52.55,49.7,51.4,79225,3696075
2024-09-24 09:43:00+05:30,51.4,60,51.35,56.7,433875,3696075
2024-09-24 09:44:00+05:30,56.85,57.55,55.65,55.9,276425,3696075
2024-09-24 09:45:00+05:30,55.45,57.4,53.6,57.25,283250,3625000
2024-09-24 09:46:00+05:30,57.65,58.55,56.25,57.8,241875,3625000
2024-09-24 09:47:00+05:30,57.85,60.9,56.65,58.2,342400,3625000
2024-09-24 09:48:00+05:30,58.2,58.65,56.75,57.45,115425,3579200
