date,open,high,low,close,volume,oi
2024-09-24 09:15:00+05:30,227.35,244.15,225.1,226.3,33425,292450
2024-09-24 09:16:00+05:30,224.95,225.85,217.15,220.1,43650,292450
2024-09-24 09:17:00+05:30,220.1,224.75,218.35,221.3,32575,292450
2024-09-24 09:18:00+05:30,222.65,230.7,221.8,228.65,37925,333225
2024-09-24 09:19:00+05:30,228.65,229.4,216.7,218.7,23475,333225
2024-09-24 09:20:00+05:30,218.7,222.75,212.6,221.4,35725,333225
2024-09-24 09:21:00+05:30,221.15,223,215.8,217.65,28650,372325
2024-09-24 09:22:00+05:30,217.5,217.5,208.25,212.2,16200,372325
2024-09-24 09:23:00+05:30,212.2,212.2,206,209.65,37225,372325
2024-09-24 09:24:00+05:30,209.65,214.55,208.9,214.55,28550,394550
2024-09-24 09:25:00+05:30,214.55,218.4,213.45,215.2,23250,394550
2024-09-24 09:26:00+05:30,215.2,220.3,212.55,219.9,31600,394550
2024-09-24 09:27:00+05:30,219.9,221.45,216.65,218.8,22600,408250
2024-09-24 09:28:00+05:30,218.8,219.7,214,217.1,17525,408250
2024-09-24 09:29:00+05:30,217.1,217.5,211.75,213.5,19325,408250
2024-09-24 09:30:00+05:30,213.5,221.25,210.55,215.1,29875,415625
2024-09-24 09:31:00+05:30,215.1,219.5,215,218.55,16450,415625
2024-09-24 09:32:00+05:30,218.55,219.35,214.2,218.6,20850,415625
2024-09-24 09:33:00+05:30,218.6,218.7,213,214.1,53350,433425
2024-09-24 09:34:00+05:30,214.1,214.7,209.15,213.35,25500,433425
2024-09-24 09:35:00+05:30,213.35,214.65,207.65,212.55,40725,433425
2024-09-24 09:36:00+05:30,212.55,214.3,207.75,209,40250,446600
2024-09-24 09:37:00+05:30,208.5,210.3,201.35,204.15,52450,446600
2024-09-24 09:38:00+05:30,204.15,211.1,203.05,211.1,27000,446600
2024-09-24 09:39:00+05:30,211.1,213.65,208.5,208.5,40150,475825
2024-09-24 09:40:00+05:30,208.8,213,206.45,211.4,17550,475825
2024-09-24 09:41:00+05:30,211.4,214.55,210,212.5,27000,475825
2024-09-24 09:42:00+05:30,213,213.2,205.95,209,23525,485475
2024-09-24 09:43:00+05:30,209,209,195.25,197.6,51400,485475
2024-09-24 09:44:00+05:30,198.2,200.85,194.9,198.6,42125,485475
2024-09-24 09:45:00+05:30,199.05,202.75,196.3,197.4,33725,515475
2024-09-24 09:46:00+05:30,197,199.65,193.9,196.15,36625,515475
2024-09-24 09:47:00+05:30,196.35,198,192.1,195.6,45800,515475
2024-09-24 09:48:00+05:30,195.6,197.35,194.05,195.5,29875,543975
2024-09-24 09:49:00+05:30,195.5,199.9,193.6,199.7,34100,543975
2024-09-24 09:50:00+05:30,199.95,204,195.4,195.4,59125,543975
2024-09-24 09:51:00+05:30,195.4,197.65,194.05,196,37100,565300
2024-09-24 09:52:00+05:30,196,196.85,190.75,192.9,40275,565300
2024-09-24 09:53:00+05:30,192.45,195,189.6,194.25,45125,565300
2024-09-24 09:54:00+05:30,194.25,196.8,187,187.45,49900,595425
2024-09-24 09:55:00+05:30,187.45,189.9,185.65,187.95,58825,595425
2024-09-24 09:56:00+05:30,187.55,188.05,182.65,183.85,47275,595425
2024-09-24 09:57:00+05:30,183.55,188.25,182.75,183.5,52025,647025
2024-09-24 09:58:00+05:30,183.5,186.65,182.15,183.25,79350,647025
2024-09-24 09:59:00+05:30,183.05,188.8,183,188.55,54625,647025
2024-09-24 10:00:00+05:30,189.3,191.95,185.4,190.5,57500,697525
2024-09-24 10:01:00+05:30,190.5,190.8,187.8,188.15,26250,697525
2024-09-24 10:02:00+05:30,188.15,190,186.75,189,23250,697525
2024-09-24 10:03:00+05:30,189,193.35,187.45,190.5,34050,707300
2024-09-24 10:04:00+05:30,190.55,191.1,184.2,184.35,35450,707300
2024-09-24 10:05:00+05:30,184.35,185.75,183.15,185.5,18475,707300
2024-09-24 10:06:00+05:30,185.65,185.65,176.7,177.7,96350,714750
2024-09-24 10:07:00+05:30,177.7,181.1,174.35,175,57925,714750
2024-09-24 10:08:00+05:30,175.8,176.2,169,173.35,82550,714750
2024-09-24 10:09:00+05:30,173.35,177.65,172.8,177,46300,749225
2024-09-24 10:10:00+05:30,177,179.75,175.45,179.75,41700,749225
2024-09-24 10:11:00+05:30,180,185.2,180,184.45,65700,749225
2024-09-24 10:12:00+05:30,184.45,188,179.75,187.55,36900,751825
2024-09-24 10:13:00+05:30,187,191,186.25,186.25,75375,751825
2024-09-24 10:14:00+05:30,186,187,182.75,185.05,31850,751825
2024-09-24 10:15:00+05:30,184.95,184.95,181.35,182.7,21300,752450
2024-09-24 10:16:00+05:30,183.35,184.9,181.05,182.95,11600,752450
2024-09-24 10:17:00+05:30,182.95,183.4,177.7,178.45,48750,752450
2024-09-24 10:18:00+05:30,178.45,179.55,176,178,32025,776825
2024-09-24 10:19:00+05:30,178,180,176.55,179.7,24450,776825
