date,open,high,low,close,volume,oi
2024-09-09 09:15:00+05:30,91.75,93,88.9,90.6,8000,3870250
2024-09-09 09:16:00+05:30,90.6,94.35,90.6,93.05,5750,3870250
2024-09-09 09:17:00+05:30,93.05,100.7,93.05,97,7500,3870250
2024-09-09 09:18:00+05:30,97,100,97,98.5,5750,3867500
2024-09-09 09:19:00+05:30,98.5,100,96.05,96.75,6000,3867500
2024-09-09 09:20:00+05:30,96.75,97,94.5,94.8,4750,3867500
2024-09-09 09:21:00+05:30,94.8,94.8,90.6,91.05,4000,3870000
2024-09-09 09:22:00+05:30,91.05,92.95,91.05,92.7,3000,3870000
2024-09-09 09:23:00+05:30,92.7,94,92.7,94,1500,3870000
2024-09-09 09:24:00+05:30,94,94,92.05,93.15,2500,3867250
2024-09-09 09:25:00+05:30,93.15,94.2,91.85,93.6,2250,3867250
2024-09-09 09:26:00+05:30,93.6,97,93.6,97,3000,3867250
2024-09-09 09:27:00+05:30,97,98.2,96,97.85,2000,3867750
2024-09-09 09:28:00+05:30,97.85,100.5,97.85,99.65,3500,3867750
2024-09-09 09:29:00+05:30,99.65,99.65,98.3,99.6,2750,3867750
2024-09-09 09:30:00+05:30,99.6,103.15,99.3,100.35,4750,3867250
2024-09-09 09:31:00+05:30,100.35,101.3,100,100.25,1500,3867250
2024-09-09 09:32:00+05:30,100.25,100.5,98,98,3250,3867250
2024-09-09 09:33:00+05:30,98,98.3,94.1,94.1,1750,3867000
2024-09-09 09:34:00+05:30,94.9,94.9,94,94,3000,3867000
2024-09-09 09:35:00+05:30,93.6,94.25,93.6,94.25,1750,3867000
2024-09-09 09:36:00+05:30,94.35,95.6,94.35,95,4750,3867250
2024-09-09 09:37:00+05:30,94,94,90,91.2,8750,3867250
2024-09-09 09:38:00+05:30,91.2,91.2,90.4,90.4,2500,3867250
2024-09-09 09:39:00+05:30,90.4,90.4,84.35,87.15,10000,3852000
2024-09-09 09:40:00+05:30,87.15,88.9,87.05,88.5,6000,3852000
2024-09-09 09:41:00+05:30,89,89.8,88.7,89.8,5500,3852000
2024-09-09 09:42:00+05:30,89.8,91.25,88.8,89.75,7750,3846500
2024-09-09 09:43:00+05:30,89.75,91.45,88.95,91.35,13750,3846500
2024-09-09 09:44:00+05:30,91.55,93.35,91.55,93.35,4500,3846500
2024-09-09 09:45:00+05:30,93.2,93.2,91.7,91.7,8000,3846500
2024-09-09 09:46:00+05:30,91.7,91.7,91,91.1,6000,3838750
2024-09-09 09:47:00+05:30,90.3,90.3,88,88,15000,3838750
2024-09-09 09:48:00+05:30,88,88,83.7,83.7,9250,3838250
2024-09-09 09:49:00+05:30,83.7,85.35,83.7,84.5,6250,3838250
2024-09-09 09:50:00+05:30,84.5,84.85,82.35,83.95,15500,3838250
2024-09-09 09:51:00+05:30,83.95,86.65,83.95,86.65,1750,3820750
2024-09-09 09:52:00+05:30,86.65,87,86.65,87,500,3820750
2024-09-09 09:53:00+05:30,87,87.5,87,87.5,500,3820750
