date,open,high,low,close,volume,oi
2024-11-13 09:15:00+05:30,17.9,30.6,15.65,23.15,1636830,1175445
2024-11-13 09:18:00+05:30,23.15,24.85,20.2,23.55,933465,1326060
2024-11-13 09:21:00+05:30,23.6,24,19.45,21.8,938160,1475820
2024-11-13 09:24:00+05:30,21.8,23.05,19.1,22.5,788460,1555500
2024-11-13 09:27:00+05:30,22.5,23.5,19,23.1,709275,1585005
2024-11-13 09:30:00+05:30,22.8,23.45,16.65,18.7,953535,1553190
2024-11-13 09:33:00+05:30,19.15,28.55,18.25,22.6,1414395,1566585
2024-11-13 09:36:00+05:30,22.95,34.75,21.5,22.5,1284615,1618620
2024-11-13 09:39:00+05:30,22.5,26.9,22.15,22.95,694425,1583580
2024-11-13 09:42:00+05:30,23.05,23.85,20.2,22.5,681105,1593225
2024-11-13 09:45:00+05:30,22.5,26.15,18.85,24.5,1142295,1610850
2024-11-13 09:48:00+05:30,24.9,38.85,24.7,26.25,2040270,1661625
2024-11-13 09:51:00+05:30,26.25,27.2,19.1,20.2,1143600,1691550
2024-11-13 09:54:00+05:30,19.9,21.65,17.75,21.55,652395,1658415
2024-11-13 09:57:00+05:30,21.35,22.4,19.35,19.35,522090,1694250
2024-11-13 10:00:00+05:30,19.15,28,18.4,22.5,926595,1707450
2024-11-13 10:03:00+05:30,22.95,49.05,22.75,44.45,2468910,1704915
2024-11-13 10:06:00+05:30,44.45,55.4,36.9,36.9,2637690,1632510
2024-11-13 10:09:00+05:30,37.3,39.85,30.9,33.1,1362390,1661265
2024-11-13 10:12:00+05:30,33.45,45.55,33.05,39.2,1314885,1675305
2024-11-13 10:15:00+05:30,39.2,46.5,35.2,36.4,1563930,1676820
2024-11-13 10:18:00+05:30,36.3,42.05,35.6,42.05,679320,1663245
2024-11-13 10:21:00+05:30,41.55,69,41.3,55.9,1858455,1636530
2024-11-13 10:24:00+05:30,55.05,58.65,44.35,48.4,990135,1623900
2024-11-13 10:27:00+05:30,48.45,49.1,39.1,39.2,733890,1641915
2024-11-13 10:30:00+05:30,38.65,48,37.85,44.4,684105,1669200
2024-11-13 10:33:00+05:30,44.95,45,29.2,34.65,1181130,1694040
2024-11-13 10:36:00+05:30,34.55,38.45,33.7,38.05,555210,1713900
2024-11-13 10:39:00+05:30,38.05,74.95,37.5,67.1,2410590,1756260
2024-11-13 10:42:00+05:30,67.1,85,65.05,77.3,2154645,1668345
2024-11-13 10:45:00+05:30,77.35,78.05,53.8,56.7,1505490,1700700
2024-11-13 10:48:00+05:30,56.2,61.55,53.75,56.85,980760,1756575
2024-11-13 10:51:00+05:30,56.75,62.2,50.2,50.85,1226760,1812840
2024-11-13 10:54:00+05:30,51.3,65.45,46.6,64.6,1440300,1804785
2024-11-13 10:57:00+05:30,64.5,77.25,64.2,73.1,1563780,1863195
2024-11-13 11:00:00+05:30,73.05,75.9,61.2,69.1,1370790,1772985
2024-11-13 11:03:00+05:30,69.1,89.8,58.8,65.85,1516590,1777485
2024-11-13 11:06:00+05:30,65.35,67.6,50,51.3,1478415,1880340
2024-11-13 11:09:00+05:30,51.3,76.55,48.9,59.7,1633980,1938720
2024-11-13 11:12:00+05:30,59.7,69.65,53.95,65.55,1077495,1970055
2024-11-13 11:15:00+05:30,65.35,66.1,50.65,58.55,1380840,2031915
2024-11-13 11:18:00+05:30,58.9,75.4,57.85,61.95,2422230,2065755
2024-11-13 11:21:00+05:30,61.2,67.4,55.1,58.45,1071780,2038995
2024-11-13 11:24:00+05:30,58.05,62.5,48.7,54.35,1239030,2047005
2024-11-13 11:27:00+05:30,53.65,57.85,49.5,52.05,975585,2236380
2024-11-13 11:30:00+05:30,52.15,58.85,41.5,47.65,1344510,2294505
2024-11-13 11:33:00+05:30,47.65,50.1,36.25,37.1,1790850,2371050
2024-11-13 11:36:00+05:30,37.1,44.95,33.7,38.2,1740225,2269275
2024-11-13 11:39:00+05:30,38.3,48.1,36.8,40.8,1209630,2256570
2024-11-13 11:42:00+05:30,40.55,49.85,39.2,45.9,1426215,2247885
2024-11-13 11:45:00+05:30,46.6,46.85,32.65,32.8,1628970,2326065
2024-11-13 11:48:00+05:30,32.45,34.45,29.25,31.55,1356045,2442420
2024-11-13 11:51:00+05:30,32,42.75,30.75,42.75,1334445,2343150
2024-11-13 11:54:00+05:30,42.75,49.1,35.6,39.6,1793520,2319810
2024-11-13 11:57:00+05:30,38.05,39.5,29.6,32.55,1283880,2329770
2024-11-13 12:00:00+05:30,31.75,31.75,25.05,28.05,1658925,2430915
2024-11-13 12:03:00+05:30,28.1,35.7,24.75,33.6,2048715,2516130
2024-11-13 12:06:00+05:30,34.35,44,31.35,40.5,2191620,2416950
2024-11-13 12:09:00+05:30,40.5,46.65,33.25,39.95,2277435,2429025
2024-11-13 12:12:00+05:30,39.7,46.8,31.25,31.3,2059350,2421450
2024-11-13 12:15:00+05:30,31.15,36.25,28.05,30,1792425,2550540
2024-11-13 12:18:00+05:30,29.7,30.65,26.1,26.95,1259790,2597460
2024-11-13 12:21:00+05:30,26.7,28.05,19.75,20.7,2222985,2668035
2024-11-13 12:24:00+05:30,21.15,26.05,20.55,24.5,1598385,2602935
2024-11-13 12:27:00+05:30,24.5,28.2,23.1,24.75,912675,2600250
2024-11-13 12:30:00+05:30,24.1,26.3,19.25,20.7,369750,2801385
2024-11-13 12:33:00+05:30,19.7,22.6,16.95,17.75,681150,2782065
2024-11-13 12:36:00+05:30,18.1,22.7,18.05,20.95,522000,2825040
2024-11-13 12:39:00+05:30,20.55,25,19.75,25,1531605,2893155
2024-11-13 12:42:00+05:30,24.8,27.75,18.1,26.5,2445195,3029880
2024-11-13 12:45:00+05:30,25.85,38.9,20.05,34.2,2444235,3099345
2024-11-13 12:48:00+05:30,33.45,35.3,23.95,24.95,2864955,2906370
2024-11-13 12:51:00+05:30,24.9,28.1,21.5,25.9,1817595,2948880
2024-11-13 12:54:00+05:30,26.1,32.45,21.85,24.2,2106075,2961945
2024-11-13 12:57:00+05:30,24.2,25.1,20.5,21.5,1413465,2944485
2024-11-13 13:00:00+05:30,21.75,28.15,20,24.5,2085945,2965455
2024-11-13 13:03:00+05:30,24.5,24.5,18.6,21.85,1895100,2973585
2024-11-13 13:06:00+05:30,21.8,24,19.65,23.6,1301115,3154980
2024-11-13 13:09:00+05:30,23.35,26.3,20.2,22.3,1808430,3183915
2024-11-13 13:12:00+05:30,22.25,22.25,14.6,16.35,2463015,3281985
2024-11-13 13:15:00+05:30,16.7,19.65,15.55,15.65,2046435,3333750
2024-11-13 13:18:00+05:30,15.5,16.7,11.6,13.05,2248605,3337770
2024-11-13 13:21:00+05:30,13.05,17,12.65,16.75,1690635,3325590
