date,open,high,low,close,volume,oi
2024-11-22 09:15:00+05:30,44,71,44,62,1340310,653090
2024-11-22 09:18:00+05:30,61.9,84,56,73.1,1244910,702600
2024-11-22 09:21:00+05:30,72.85,195,72.75,172.4,2003690,815730
2024-11-22 09:24:00+05:30,179.45,184.5,151.6,162.6,1394290,728840
2024-11-22 09:27:00+05:30,160.5,222,151.25,184.25,1594660,695990
2024-11-22 09:30:00+05:30,186.4,213.85,183.75,186.1,973190,700080
2024-11-22 09:33:00+05:30,186.65,191.8,153.9,178.1,824360,741190
2024-11-22 09:36:00+05:30,178.7,194,162.85,181,696900,801840
2024-11-22 09:39:00+05:30,178.65,202.25,150,166.05,1536750,811300
2024-11-22 09:42:00+05:30,160.9,173.25,146.6,146.6,738800,747780
2024-11-22 09:45:00+05:30,144.6,157.65,120.7,124.6,777160,781730
2024-11-22 09:48:00+05:30,122.1,143.15,112.4,116.05,542840,794630
2024-11-22 09:51:00+05:30,113.2,116,99.05,109.05,620560,796540
2024-11-22 09:54:00+05:30,108,148.25,104.05,126.6,718770,825000
2024-11-22 09:57:00+05:30,125.1,153.95,114,149.35,847310,830060
2024-11-22 10:00:00+05:30,150.45,271,136.55,206.1,1291230,852600
2024-11-22 10:03:00+05:30,212.45,350.05,206.2,322.85,1603280,874420
2024-11-22 10:06:00+05:30,319.55,366.95,282.4,348.3,1270760,724130
2024-11-22 10:09:00+05:30,347.95,370,303.55,309.05,788550,721720
2024-11-22 10:12:00+05:30,310,360.5,305.05,310.5,739120,769450
2024-11-22 10:15:00+05:30,312.8,330.85,281.4,318.4,642650,769480
2024-11-22 10:18:00+05:30,317,319.2,291.75,311.7,376800,775620
2024-11-22 10:21:00+05:30,309.3,317.75,251.65,256,883100,800460
2024-11-22 10:24:00+05:30,262.45,266.85,224.3,233.1,540980,796470
2024-11-22 10:27:00+05:30,230.15,268.45,220.55,264.4,496820,793570
2024-11-22 10:30:00+05:30,261.6,290.25,223.45,231.5,708190,781630
2024-11-22 10:33:00+05:30,229.3,262.8,212.55,230.95,497400,775040
2024-11-22 10:36:00+05:30,231.35,253.6,229.3,245,311400,837250
2024-11-22 10:39:00+05:30,246.7,265.35,223.05,227.3,481500,849830
2024-11-22 10:42:00+05:30,225.55,243.95,204.8,214.05,557470,834090
2024-11-22 10:45:00+05:30,211.2,220.45,165.05,167.5,691910,856390
2024-11-22 10:48:00+05:30,169.35,174.5,154.2,172.15,671690,878980
2024-11-22 10:51:00+05:30,173.65,188.5,164.5,177.4,504550,861080
2024-11-22 10:54:00+05:30,174.1,219.85,174.1,188.9,702240,860510
2024-11-22 10:57:00+05:30,189.65,199.4,173.5,195.2,407190,841780
2024-11-22 11:00:00+05:30,195.8,218.75,187.55,190.3,546850,861480
2024-11-22 11:03:00+05:30,192.25,215.2,184.8,207.9,427360,866670
2024-11-22 11:06:00+05:30,208.45,237.75,183.8,196.4,531770,872930
2024-11-22 11:09:00+05:30,195.25,195.4,160.65,161.4,465420,859110
2024-11-22 11:12:00+05:30,162.3,181.1,150.4,177.5,569560,914480
2024-11-22 11:15:00+05:30,174.5,183.95,142.5,153.8,635760,916510
2024-11-22 11:18:00+05:30,155.4,166.95,151.7,163.75,387510,899390
2024-11-22 11:21:00+05:30,163.95,177.7,156.3,164.55,388670,921170
