date,open,high,low,close,volume,oi
2024-11-05 09:15:00+05:30,50,63.9,34.05,53.1,4056325,1370725
2024-11-05 09:18:00+05:30,53.65,61.35,45.4,45.55,3837200,2030075
2024-11-05 09:21:00+05:30,46.1,48.95,30.2,36.85,4009850,2663050
2024-11-05 09:24:00+05:30,37.65,74,37.4,46.2,6678300,2781575
2024-11-05 09:27:00+05:30,47.05,63.4,45.4,53.8,4369900,2947075
2024-11-05 09:30:00+05:30,53.8,79,49.1,60.1,5065825,3042100
2024-11-05 09:33:00+05:30,60.1,63.15,45.3,48.7,3253650,2916400
2024-11-05 09:36:00+05:30,47.7,48.45,37.3,37.3,3247200,3490800
2024-11-05 09:39:00+05:30,37.3,41.2,33.8,35.1,3383800,3649950
2024-11-05 09:42:00+05:30,34.55,40.8,33.25,39.45,2545625,3943650
2024-11-05 09:45:00+05:30,39.45,40.25,32.65,34.2,1946875,4021700
2024-11-05 09:48:00+05:30,34.2,37.95,31.35,32.05,1981600,4182125
2024-11-05 09:51:00+05:30,31.35,38.1,27,34.7,3567800,4271200
2024-11-05 09:54:00+05:30,34.7,45,33.65,40.1,3165150,4277600
2024-11-05 09:57:00+05:30,40.1,42.7,33.2,35.2,2522950,4117675
2024-11-05 10:00:00+05:30,35.2,40.8,31.45,40.8,2497125,4220475
2024-11-05 10:03:00+05:30,40,57.95,37.7,40.2,4570550,4103150
2024-11-05 10:06:00+05:30,40.65,45.3,36,40.35,2112525,3942550
2024-11-05 10:09:00+05:30,40.25,53,36.8,38.7,3894550,3968575
2024-11-05 10:12:00+05:30,38.7,44,37.75,44,1737775,4119925
2024-11-05 10:15:00+05:30,44.25,44.95,34.55,43.4,2506300,4119575
2024-11-05 10:18:00+05:30,43.1,45.3,36.75,43.3,1737500,4005825
2024-11-05 10:21:00+05:30,43.2,46.3,37.5,44.35,1951825,3998700
2024-11-05 10:24:00+05:30,44.35,47.5,42.35,46.05,2244400,4060250
2024-11-05 10:27:00+05:30,46.05,98,45.5,87.15,9953300,3655575
2024-11-05 10:30:00+05:30,87.15,88.15,72.95,75.45,5231175,3510500
2024-11-05 10:33:00+05:30,74.2,77.7,43.9,47.4,6780000,3835100
2024-11-05 10:36:00+05:30,47.4,53.9,35.95,35.95,4014125,3965800
2024-11-05 10:39:00+05:30,35.95,39.85,31.5,37.9,4185225,4151275
2024-11-05 10:42:00+05:30,37.9,38.85,34.8,35.35,2472500,4264925
2024-11-05 10:45:00+05:30,35.55,54.55,35.5,50.5,3531025,4122375
