date,open,high,low,close,volume,oi
2024-09-10 09:15:00+05:30,95,98.25,83.05,87.35,1649125,6457525
2024-09-10 09:16:00+05:30,87.2,93.4,87.2,91.8,1103200,6457525
2024-09-10 09:17:00+05:30,91.8,92.1,85.5,85.5,766800,6457525
2024-09-10 09:18:00+05:30,85.2,85.5,81.45,82.45,665600,6841600
2024-09-10 09:19:00+05:30,82.45,85.5,80.95,83.75,686425,6841600
2024-09-10 09:20:00+05:30,83.5,86.2,81.45,84.85,647150,6841600
2024-09-10 09:21:00+05:30,84.85,86.85,82.6,84.45,797325,7392775
2024-09-10 09:22:00+05:30,84.45,86.35,83.4,84.75,445725,7392775
2024-09-10 09:23:00+05:30,84.7,88.7,84.65,86.3,696225,7392775
2024-09-10 09:24:00+05:30,86.5,90.85,85,90.15,708100,7503925
2024-09-10 09:25:00+05:30,90.2,90.2,84.35,88.7,709550,7503925
2024-09-10 09:26:00+05:30,88.7,89.35,82.5,82.65,680975,7503925
2024-09-10 09:27:00+05:30,82.65,85.35,78,80.8,701525,7731450
2024-09-10 09:28:00+05:30,81.65,85.65,81.35,85.55,495500,7731450
2024-09-10 09:29:00+05:30,85.55,85.95,83.2,85.25,406775,7731450
2024-09-10 09:30:00+05:30,85.25,86.3,82.35,82.8,496025,7874650
2024-09-10 09:31:00+05:30,82.85,84.35,81.05,82.85,365075,7874650
2024-09-10 09:32:00+05:30,82.6,83.1,77.6,78.95,583275,7874650
2024-09-10 09:33:00+05:30,79.4,80.4,77.05,79.25,371325,8145275
2024-09-10 09:34:00+05:30,79.65,80.05,74.4,75.8,538550,8145275
2024-09-10 09:35:00+05:30,75.8,78.65,73.7,77.15,458450,8145275
2024-09-10 09:36:00+05:30,77.55,77.8,73.45,74.1,480550,8437675
2024-09-10 09:37:00+05:30,74.1,74.85,70.55,70.55,567650,8437675
2024-09-10 09:38:00+05:30,71.1,74.05,69.85,72.95,675775,8437675
2024-09-10 09:39:00+05:30,72.8,73.9,71.5,71.65,386375,8722450
