date,open,high,low,close,volume,oi
2024-09-24 09:15:00+05:30,145.7,167,130.2,133.35,367650,941525
2024-09-24 09:16:00+05:30,132.75,133.2,126.8,130.05,272200,941525
2024-09-24 09:17:00+05:30,130.2,132.5,127.85,131.3,209175,941525
2024-09-24 09:18:00+05:30,131.55,137,130.7,135.8,224225,1149525
2024-09-24 09:19:00+05:30,136,136,127.4,128.5,190475,1149525
2024-09-24 09:20:00+05:30,128.5,130.45,123.4,129.3,296450,1149525
2024-09-24 09:21:00+05:30,129.3,130.65,125.55,127,124700,1379100
2024-09-24 09:22:00+05:30,127,127,120.6,123.95,180300,1379100
2024-09-24 09:23:00+05:30,122.95,123.05,119.05,120.9,241025,1379100
2024-09-24 09:24:00+05:30,120.8,124.9,120.5,124.9,163375,1548150
2024-09-24 09:25:00+05:30,124.5,127.3,123.7,125,201000,1548150
2024-09-24 09:26:00+05:30,124.75,128.85,123,128.45,143450,1548150
2024-09-24 09:27:00+05:30,128.45,129.4,125.95,127.95,209125,1599925
2024-09-24 09:28:00+05:30,127.95,128.2,124.5,126.25,139550,1599925
2024-09-24 09:29:00+05:30,126.25,126.85,122.5,123.65,149450,1599925
2024-09-24 09:30:00+05:30,123.65,129.2,121.4,125,255400,1733875
2024-09-24 09:31:00+05:30,125,127.9,124.65,127.1,108750,1733875
2024-09-24 09:32:00+05:30,126.85,127.7,124.1,126.9,121925,1733875
2024-09-24 09:33:00+05:30,127.05,127.05,123.25,123.7,121150,1795325
2024-09-24 09:34:00+05:30,123.7,124.2,120.65,123.15,142675,1795325
2024-09-24 09:35:00+05:30,123.15,124.2,119.85,122.8,213025,1795325
2024-09-24 09:36:00+05:30,123,124.6,120.05,120.55,150225,1877900
2024-09-24 09:37:00+05:30,120.15,121.6,115,116.9,269000,1877900
2024-09-24 09:38:00+05:30,116.9,121.55,116.4,121.35,214450,1877900
2024-09-24 09:39:00+05:30,121.35,123.25,119.95,120.25,185625,1919925
2024-09-24 09:40:00+05:30,119.65,122.85,118,121.8,81450,1919925
2024-09-24 09:41:00+05:30,121.9,123.95,120.85,122.75,133575,1919925
2024-09-24 09:42:00+05:30,122.9,122.9,117.6,119.4,128850,1977850
2024-09-24 09:43:00+05:30,119.15,119.55,110.55,110.55,288675,1977850
2024-09-24 09:44:00+05:30,112.55,114.5,110.05,112.25,229650,1977850
2024-09-24 09:45:00+05:30,112.25,115.25,111.15,111.8,245100,2104900
2024-09-24 09:46:00+05:30,111.5,113,108.4,110.65,285225,2104900
2024-09-24 09:47:00+05:30,110.6,111.95,108,110.85,213575,2104900
2024-09-24 09:48:00+05:30,110.25,111.2,108.85,110.05,144800,2262450
2024-09-24 09:49:00+05:30,109.9,112.8,108.55,112.45,144825,2262450
2024-09-24 09:50:00+05:30,112.45,115.45,110,110,279350,2262450
2024-09-24 09:51:00+05:30,109.3,111.25,109.1,110.15,174825,2379225
2024-09-24 09:52:00+05:30,110.15,111,106.65,107.65,202625,2379225
2024-09-24 09:53:00+05:30,107.7,109.55,106,108.75,185625,2379225
2024-09-24 09:54:00+05:30,108.75,110.45,104,104.55,265825,2410350
2024-09-24 09:55:00+05:30,104.55,105.8,103.15,104.05,263275,2410350
2024-09-24 09:56:00+05:30,104,104.35,101,101.55,290425,2410350
2024-09-24 09:57:00+05:30,101.55,104.65,100.7,101.5,266900,2644000
2024-09-24 09:58:00+05:30,101.5,103.25,100.3,100.9,176450,2644000
2024-09-24 09:59:00+05:30,100.9,104.75,100.9,104.75,200025,2644000
2024-09-24 10:00:00+05:30,104.75,106.65,102.6,105.7,341850,2766000
2024-09-24 10:01:00+05:30,105.6,105.8,103.95,104.45,194675,2766000
2024-09-24 10:02:00+05:30,104.45,105.7,103.3,104.75,155250,2766000
2024-09-24 10:03:00+05:30,104.9,107.75,104.05,105.95,206475,2856650
2024-09-24 10:04:00+05:30,105.95,106.25,101.4,101.85,166500,2856650
2024-09-24 10:05:00+05:30,101.55,102.75,101,102.5,151550,2856650
2024-09-24 10:06:00+05:30,102.5,102.9,96.2,97.25,366600,2861075
2024-09-24 10:07:00+05:30,97.25,99.5,95.2,95.55,209200,2861075
2024-09-24 10:08:00+05:30,96,96.45,91.8,94.5,369650,2861075
2024-09-24 10:09:00+05:30,94.4,97.4,94.4,97.05,184250,2857000
2024-09-24 10:10:00+05:30,97.15,98.65,95.95,98.65,166450,2857000
2024-09-24 10:11:00+05:30,99.2,102.3,99.15,101.65,337475,2857000
2024-09-24 10:12:00+05:30,101.75,104,98.75,103.65,217125,2909850
2024-09-24 10:13:00+05:30,103.65,106,103.3,103.3,305025,2909850
2024-09-24 10:14:00+05:30,102.85,103.8,100.85,102.3,196125,2909850
2024-09-24 10:15:00+05:30,102.45,102.45,99.45,100.75,217125,2905500
2024-09-24 10:16:00+05:30,100.75,102.3,99.65,101,123675,2905500
2024-09-24 10:17:00+05:30,101.15,101.45,97.5,98.2,168850,2905500
2024-09-24 10:18:00+05:30,97.85,98.75,96.3,97.7,158550,2957425
2024-09-24 10:19:00+05:30,98.05,99.1,96.85,99.05,96875,2957425
2024-09-24 10:20:00+05:30,98.8,102,98.5,101.9,159250,2957425
2024-09-24 10:21:00+05:30,101.9,102.3,99.25,100.5,132625,2963525
2024-09-24 10:22:00+05:30,100.5,101.05,96.55,96.85,109200,2963525
2024-09-24 10:23:00+05:30,96.85,97.9,95.3,96.45,115825,2963525
2024-09-24 10:24:00+05:30,96.45,96.6,93.85,95.1,123925,2998025
2024-09-24 10:25:00+05:30,95.15,95.3,90,92.5,342950,2998025
2024-09-24 10:26:00+05:30,92.5,94.05,92.4,93.9,131625,2998025
2024-09-24 10:27:00+05:30,93.9,95.2,92.05,92.55,183325,3107300
2024-09-24 10:28:00+05:30,92.55,93.75,91.75,93.2,107700,3107300
2024-09-24 10:29:00+05:30,93.2,95.45,92.3,95.25,134000,3107300
2024-09-24 10:30:00+05:30,95.15,95.15,91.6,93.75,152850,3195125
2024-09-24 10:31:00+05:30,93.75,94.35,91.8,93,98650,3195125
2024-09-24 10:32:00+05:30,93,96.3,92.85,95.95,100400,3195125
2024-09-24 10:33:00+05:30,95.85,96.65,93.85,96.25,168800,3194475
2024-09-24 10:34:00+05:30,96.25,98.15,95.55,97.55,232525,3194475
2024-09-24 10:35:00+05:30,97.55,99.3,97.4,98.75,189375,3194475
2024-09-24 10:36:00+05:30,98.75,99.75,96.95,99.35,161075,3202100
2024-09-24 10:37:00+05:30,99.45,100.7,98.7,100.4,143750,3202100
2024-09-24 10:38:00+05:30,100.5,100.6,99.25,99.75,100700,3202100
2024-09-24 10:39:00+05:30,100,100.65,98.5,100.5,131200,3190350
2024-09-24 10:40:00+05:30,100.15,101.5,98.5,99.35,129575,3190350
2024-09-24 10:41:00+05:30,99.35,101.85,99.05,101.25,94625,3190350
2024-09-24 10:42:00+05:30,100.95,104.4,100.8,103.4,200775,3194950
2024-09-24 10:43:00+05:30,103.8,107.4,103.7,106.9,389550,3194950
2024-09-24 10:44:00+05:30,107.75,107.75,104.4,106.5,274375,3194950
2024-09-24 10:45:00+05:30,106.9,109.45,105.25,107.35,340700,3098125
2024-09-24 10:46:00+05:30,106.6,110.85,106.2,109.15,327075,3098125
2024-09-24 10:47:00+05:30,109.6,112.4,109.25,111.2,372875,3098125
2024-09-24 10:48:00+05:30,110.75,112.15,108.7,108.95,268375,3032625
2024-09-24 10:49:00+05:30,108.95,112.45,107.45,108.45,266075,3032625
2024-09-24 10:50:00+05:30,108.45,109.3,104.75,105.3,236850,3032625
2024-09-24 10:51:00+05:30,105.3,108.4,104.45,107.8,162975,2938975
2024-09-24 10:52:00+05:30,107.8,110.85,106.95,110.25,149450,2938975
2024-09-24 10:53:00+05:30,110.4,111.2,107.45,110.6,194375,2938975
2024-09-24 10:54:00+05:30,109.85,110.2,108,109.7,111600,2982275
2024-09-24 10:55:00+05:30,109.7,111.25,108.9,109.55,136875,2982275
2024-09-24 10:56:00+05:30,109.15,110.45,106.7,108.05,136200,2982275
2024-09-24 10:57:00+05:30,108.05,109.8,107.6,109.45,82250,2998725
2024-09-24 10:58:00+05:30,109.5,109.95,108.2,108.3,76375,2998725
2024-09-24 10:59:00+05:30,108.1,108.15,102.7,102.85,256825,2998725
2024-09-24 11:00:00+05:30,102.85,108,102.25,107.55,235200,2974975
2024-09-24 11:01:00+05:30,107.75,108.9,106.85,108.7,101850,2974975
2024-09-24 11:02:00+05:30,108.7,109.35,107.25,108.3,142400,2974975
2024-09-24 11:03:00+05:30,108.55,112.55,108,111,214000,2949825
2024-09-24 11:04:00+05:30,111,115.2,110.25,111.05,452825,2949825
2024-09-24 11:05:00+05:30,110.55,112.45,108,111.9,258500,2949825
2024-09-24 11:06:00+05:30,111.9,112.1,107.3,108.3,139175,2949825
2024-09-24 11:07:00+05:30,108.05,108.65,105.75,106,90175,2969300
2024-09-24 11:08:00+05:30,105.75,108.5,105.75,106.3,107150,2969300
2024-09-24 11:09:00+05:30,105.75,107.65,104.85,107.1,146575,2969300
2024-09-24 11:10:00+05:30,107.15,108.05,105.35,105.9,115900,2991650
2024-09-24 11:11:00+05:30,105.6,107.75,105.45,107.25,84575,2991650
2024-09-24 11:12:00+05:30,107.1,108.55,105.35,107.35,87875,2991650
2024-09-24 11:13:00+05:30,107.5,107.8,104.2,106.3,114350,3034900
2024-09-24 11:14:00+05:30,105.95,109,105.95,108.85,93575,3034900
2024-09-24 11:15:00+05:30,109.35,113.3,109.1,111.9,266500,3034900
2024-09-24 11:16:00+05:30,112,112.75,110.15,111.15,159825,3053925
2024-09-24 11:17:00+05:30,111.6,116.15,111.4,114.55,305225,3053925
2024-09-24 11:18:00+05:30,114.5,115.65,112.95,114.8,196150,3053925
2024-09-24 11:19:00+05:30,114.8,116.45,113.8,114.05,207000,3040425
2024-09-24 11:20:00+05:30,114.7,118.15,114.7,116.2,278375,3040425
2024-09-24 11:21:00+05:30,116.45,118.2,115.2,115.2,176825,3040425
2024-09-24 11:22:00+05:30,115.7,117.7,114.2,116.5,184225,3045575
2024-09-24 11:23:00+05:30,116.85,117.7,115.5,117.05,172600,3045575
2024-09-24 11:24:00+05:30,117.05,117.95,113.45,115.65,195975,3045575
2024-09-24 11:25:00+05:30,115.35,116.8,112.8,113.55,138300,2992050
2024-09-24 11:26:00+05:30,113.55,117.45,113.4,116.9,158725,2992050
2024-09-24 11:27:00+05:30,116.65,117.55,114.45,114.9,106450,2992050
2024-09-24 11:28:00+05:30,114.7,114.9,111.45,112.2,114050,2987550
2024-09-24 11:29:00+05:30,111.8,111.8,108.6,108.7,188100,2987550
2024-09-24 11:30:00+05:30,108.9,111,107.6,108.35,139650,2987550
2024-09-24 11:31:00+05:30,108.35,112.55,106.4,111.9,209125,2989950
2024-09-24 11:32:00+05:30,111.9,114,110.5,112.8,96000,2989950
2024-09-24 11:33:00+05:30,112.8,115.65,112.8,115.35,168500,2989950
2024-09-24 11:34:00+05:30,115.45,120.95,115.3,119.2,374625,3004700
2024-09-24 11:35:00+05:30,119.15,119.4,113.85,114.6,209700,3004700
2024-09-24 11:36:00+05:30,114.5,117.5,114.05,115,173350,3004700
2024-09-24 11:37:00+05:30,114.75,117.6,113.4,117.4,116275,2995250
2024-09-24 11:38:00+05:30,117.15,117.15,114.5,114.5,59900,2995250
2024-09-24 11:39:00+05:30,114.6,116.5,113.35,116.5,57625,2995250
2024-09-24 11:40:00+05:30,116.45,118.75,115.95,117.9,104950,3006850
2024-09-24 11:41:00+05:30,118.05,119.6,115.85,119.6,145175,3006850
2024-09-24 11:42:00+05:30,120,120.15,115,117.15,181400,3006850
2024-09-24 11:43:00+05:30,117.6,118.8,116.75,117.5,70275,2991275
2024-09-24 11:44:00+05:30,117.4,117.85,114.5,115.45,105250,2991275
2024-09-24 11:45:00+05:30,115.4,116.45,114.25,116.4,96050,2991275
2024-09-24 11:46:00+05:30,116.4,118.9,115,117.4,109975,2975275
2024-09-24 11:47:00+05:30,117.65,118.75,115.05,115.45,120050,2975275
