date,open,high,low,close,volume,oi
2024-09-30 09:15:00+05:30,92.9,92.9,70.7,70.7,2125,77000
2024-09-30 09:16:00+05:30,70.7,74,70,74,2625,77000
2024-09-30 09:17:00+05:30,74,74.75,73,73,1875,77000
2024-09-30 09:18:00+05:30,73,73,69.25,69.3,2750,75375
2024-09-30 09:19:00+05:30,69.3,71.4,67.6,71.4,625,75375
2024-09-30 09:20:00+05:30,71.4,71.4,68.2,70.25,1375,75375
2024-09-30 09:21:00+05:30,70.25,70.7,68,68,1625,73000
2024-09-30 09:22:00+05:30,68,70,68,69.35,1000,73000
2024-09-30 09:23:00+05:30,69.35,73.95,69.35,73.1,1000,73000
2024-09-30 09:24:00+05:30,73.1,73.2,71.6,72.4,2250,72375
2024-09-30 09:25:00+05:30,72.4,73,70.45,73,6375,72375
2024-09-30 09:26:00+05:30,73,73,71.15,72.3,1250,72375
2024-09-30 09:27:00+05:30,72.3,72.75,71.3,71.95,750,67750
2024-09-30 09:28:00+05:30,72.2,73.7,71.75,73.7,4375,67750
2024-09-30 09:29:00+05:30,73.7,73.7,72.15,72.15,125,67750
2024-09-30 09:30:00+05:30,72.15,72.85,72.15,72.5,500,66250
2024-09-30 09:31:00+05:30,72.5,73.25,72.5,73.25,375,66250
2024-09-30 09:32:00+05:30,73.25,73.25,71.9,72.15,875,66250
2024-09-30 09:33:00+05:30,72.15,73.2,72.15,73.2,250,66250
2024-09-30 09:34:00+05:30,73.2,74,73.2,73.2,375,66000
2024-09-30 09:35:00+05:30,73.2,73.2,71.95,71.95,125,66000
2024-09-30 09:36:00+05:30,71.95,71.95,71.95,71.95,125,66000
2024-09-30 09:37:00+05:30,71.95,72,71.15,71.8,2875,66250
2024-09-30 09:38:00+05:30,71.8,72.85,71.8,72.85,625,66250
2024-09-30 09:39:00+05:30,72.85,72.85,72.35,72.4,250,66250
2024-09-30 09:40:00+05:30,71.8,73.1,71.8,72.35,500,63750
2024-09-30 09:41:00+05:30,72.35,72.35,72.35,72.35,125,63750
2024-09-30 09:42:00+05:30,72.35,72.35,68.35,68.4,2125,63750
2024-09-30 09:43:00+05:30,68.4,68.4,67.6,68.25,500,62000
2024-09-30 09:44:00+05:30,68.25,69.55,66.45,68.65,2375,62000
2024-09-30 09:45:00+05:30,68.65,70.3,68.65,70.3,250,62500
2024-09-30 09:46:00+05:30,70.3,71,70.3,71,125,62500
2024-09-30 09:47:00+05:30,71,71,71,71,0,62500
