date,open,high,low,close,volume,oi
2024-09-09 09:15:00+05:30,30,30.9,25.05,25.15,76250,7386250
2024-09-09 09:16:00+05:30,25.2,26.3,24.45,25.75,89000,7386250
2024-09-09 09:17:00+05:30,25.75,25.9,24,24.5,118750,7386250
2024-09-09 09:18:00+05:30,24.5,24.75,23.7,24.4,87750,7420000
2024-09-09 09:19:00+05:30,24.4,24.9,24,24.7,80000,7420000
2024-09-09 09:20:00+05:30,24.65,25,24.45,24.75,59750,7420000
2024-09-09 09:21:00+05:30,24.75,26.2,24.75,26.2,68250,7403000
2024-09-09 09:22:00+05:30,26.1,26.15,25.4,25.7,59000,7403000
2024-09-09 09:23:00+05:30,25.7,25.95,25.4,25.8,25750,7403000
2024-09-09 09:24:00+05:30,25.8,26.5,25.8,26.1,28250,7414250
2024-09-09 09:25:00+05:30,26.1,26.5,25.9,25.95,29000,7414250
2024-09-09 09:26:00+05:30,25.95,26,25.1,25.1,39750,7414250
2024-09-09 09:27:00+05:30,25.2,25.25,24.25,24.65,95500,7435500
2024-09-09 09:28:00+05:30,24.55,24.55,23.7,23.9,84750,7435500
2024-09-09 09:29:00+05:30,23.85,24.15,23.5,23.65,40500,7435500
2024-09-09 09:30:00+05:30,23.65,23.8,22.65,23.4,113000,7447250
2024-09-09 09:31:00+05:30,23.2,23.4,22.8,23.15,67500,7447250
2024-09-09 09:32:00+05:30,23.2,23.75,23,23.75,24250,7447250
2024-09-09 09:33:00+05:30,23.75,24.65,23.65,24.65,22000,7486250
2024-09-09 09:34:00+05:30,24.65,24.75,24.05,24.65,53000,7486250
2024-09-09 09:35:00+05:30,24.65,24.8,24.15,24.15,35250,7486250
2024-09-09 09:36:00+05:30,24.15,24.4,23.85,24.3,33000,7491750
2024-09-09 09:37:00+05:30,24.3,25.75,24.3,25.2,39000,7491750
2024-09-09 09:38:00+05:30,25.2,25.4,25,25.2,26750,7491750
2024-09-09 09:39:00+05:30,25.2,27,25.2,26.2,122000,7453500
2024-09-09 09:40:00+05:30,26.15,26.15,25.35,25.55,32000,7453500
2024-09-09 09:41:00+05:30,25.5,25.55,25.05,25.3,28500,7453500
2024-09-09 09:42:00+05:30,25.3,25.75,25,25.2,20750,7466000
2024-09-09 09:43:00+05:30,25.2,25.6,24.8,24.8,25500,7466000
2024-09-09 09:44:00+05:30,24.8,24.95,24,24.15,16000,7466000
2024-09-09 09:45:00+05:30,24.3,24.8,24.3,24.65,48750,7466750
2024-09-09 09:46:00+05:30,24.65,24.9,24.5,24.5,15500,7466750
