date,open,high,low,close,volume,oi
2024-09-30 09:15:00+05:30,36.2,38.75,33.65,37.65,56750,1590750
2024-09-30 09:16:00+05:30,38,39.45,37.6,38.25,35750,1590750
2024-09-30 09:17:00+05:30,38.2,38.85,36.1,36.7,31000,1590750
2024-09-30 09:18:00+05:30,36.7,38.5,36.5,38.35,37500,1572000
2024-09-30 09:19:00+05:30,38.35,39.15,38.05,38.6,24500,1572000
2024-09-30 09:20:00+05:30,38.6,39.75,38.55,38.7,34000,1572000
2024-09-30 09:21:00+05:30,38.7,40.2,38.7,39.5,28750,1602500
2024-09-30 09:22:00+05:30,39.5,41,39,41,22250,1602500
2024-09-30 09:23:00+05:30,40.9,42.8,39.9,40.05,40750,1602500
2024-09-30 09:24:00+05:30,39.6,41.3,39,39.75,44250,1618000
2024-09-30 09:25:00+05:30,39.75,40.7,39.45,40.2,19500,1618000
2024-09-30 09:26:00+05:30,40.2,40.7,40.05,40.1,12750,1618000
2024-09-30 09:27:00+05:30,40.15,41.2,40.15,41.2,22750,1624000
2024-09-30 09:28:00+05:30,41.2,42.1,41,41,18250,1624000
2024-09-30 09:29:00+05:30,41,41.85,40.85,41.65,14000,1624000
2024-09-30 09:30:00+05:30,41.65,44.6,41.65,43.55,58250,1633000
2024-09-30 09:31:00+05:30,43.6,43.8,42.75,43.15,24750,1633000
2024-09-30 09:32:00+05:30,43.15,43.15,41.65,42.25,27500,1633000
2024-09-30 09:33:00+05:30,42.25,43.3,42.25,42.9,30500,1629000
2024-09-30 09:34:00+05:30,42.9,42.95,41.6,42.2,12500,1629000
2024-09-30 09:35:00+05:30,42.2,42.35,41.75,41.95,16000,1629000
2024-09-30 09:36:00+05:30,41.95,42.4,41.95,42.3,15000,1635500
2024-09-30 09:37:00+05:30,42.25,42.65,42,42.6,15500,1635500
2024-09-30 09:38:00+05:30,42.6,43.85,42.6,43.85,15250,1635500
2024-09-30 09:39:00+05:30,43.85,44,43.25,43.6,10500,1643500
2024-09-30 09:40:00+05:30,43.6,44.9,43.3,44.75,24000,1643500
2024-09-30 09:41:00+05:30,45,45.7,44.85,45.35,42000,1643500
2024-09-30 09:42:00+05:30,45.35,46,45.35,45.6,9250,1641250
2024-09-30 09:43:00+05:30,45.6,45.9,45.35,45.85,9750,1641250
2024-09-30 09:44:00+05:30,46,46.7,46,46.65,20250,1641250
2024-09-30 09:45:00+05:30,46.65,48.85,46.5,47.95,45000,1640750
