date,open,high,low,close,volume,oi
2024-11-21 09:15:00+05:30,200,201.9,95.05,114.9,2063250,670750
2024-11-21 09:18:00+05:30,114.15,133.35,101.65,120.85,2048400,1084625
2024-11-21 09:21:00+05:30,122.4,138.15,104.6,108.2,1759150,1264700
2024-11-21 09:24:00+05:30,109.05,112.7,88,100.15,2005350,1588625
2024-11-21 09:27:00+05:30,100.15,106.2,86.1,96.85,1583325,2055625
2024-11-21 09:30:00+05:30,96.2,100,58,60.35,3891725,2400600
2024-11-21 09:33:00+05:30,60.35,63.5,52.5,58.2,5027300,3344825
2024-11-21 09:36:00+05:30,58.05,58.2,39.65,42.1,7315650,4885000
2024-11-21 09:39:00+05:30,42.1,45,31.9,42.1,8495450,7129275
2024-11-21 09:42:00+05:30,42.25,54.65,38.45,42.4,10846925,8253450
2024-11-21 09:45:00+05:30,42.4,56.2,40.4,48,9438825,9409050
2024-11-21 09:48:00+05:30,48.15,48.15,31.05,38.5,8489925,9540475
2024-11-21 09:51:00+05:30,38.5,47.5,32.5,35.55,7870025,11032300
2024-11-21 09:54:00+05:30,35.55,45,34.6,40.05,6430525,11943100
2024-11-21 09:57:00+05:30,40.25,42.6,29.25,30.5,8576500,12904875
2024-11-21 10:00:00+05:30,30.5,44.25,22.5,39.2,14620975,14011650
2024-11-21 10:03:00+05:30,39.4,57.55,35.6,53.55,13581050,13747750
2024-11-21 10:06:00+05:30,53.55,56.8,37.05,38.35,10513775,12774100
2024-11-21 10:09:00+05:30,37.8,38.35,28,38.2,8866600,13161500
2024-11-21 10:12:00+05:30,38.2,41.4,30.15,30.85,5893725,13567050
2024-11-21 10:15:00+05:30,30.95,34.7,28.1,30.8,6765125,14302050
2024-11-21 10:18:00+05:30,30.9,33.7,28.55,32.45,4992625,15095275
2024-11-21 10:21:00+05:30,32.3,35.75,29.35,34.2,5465725,16091175
2024-11-21 10:24:00+05:30,34.55,42.65,33.05,34.25,7882725,16130825
2024-11-21 10:27:00+05:30,34.25,35.85,29.35,32,5544600,16516850
2024-11-21 10:30:00+05:30,32,40.4,30.7,35.8,5893825,16979450
2024-11-21 10:33:00+05:30,35.8,36.9,28.5,31.45,5523800,16759000
2024-11-21 10:36:00+05:30,31.45,31.45,26.2,30.05,6452750,17522875
2024-11-21 10:39:00+05:30,30.05,30.35,27.7,29.05,3955250,18055525
2024-11-21 10:42:00+05:30,29.05,31.6,27.5,29.4,3993900,18319300
2024-11-21 10:45:00+05:30,29.4,30.85,27.4,29.45,4408750,18890550
2024-11-21 10:48:00+05:30,29.45,34.65,29.35,31.85,7182625,18711525
2024-11-21 10:51:00+05:30,31.85,39.7,31.6,37.05,8050600,18928125
2024-11-21 10:54:00+05:30,37.05,37.85,32.4,35.55,5958425,18582325
2024-11-21 10:57:00+05:30,35.55,35.65,28.6,30.15,5578500,18797100
2024-11-21 11:00:00+05:30,30.25,36,27.45,33.45,7794925,19368975
2024-11-21 11:03:00+05:30,33.25,37.75,32.05,34.95,6052175,19783075
2024-11-21 11:06:00+05:30,34.95,36.25,30.05,32.7,5431925,20075875
2024-11-21 11:09:00+05:30,32.7,34.85,30.1,30.4,3659525,20130950
2024-11-21 11:12:00+05:30,30.4,38.9,30.1,34.4,6970125,20283750
2024-11-21 11:15:00+05:30,34.4,36.9,31.8,35.55,5007475,20003175
2024-11-21 11:18:00+05:30,35.4,47,33.35,42.3,8784600,20347325
2024-11-21 11:21:00+05:30,42.3,43.45,30.45,33.1,9297500,19176300
2024-11-21 11:24:00+05:30,32.8,33.9,31.3,32.75,3903300,19968400
2024-11-21 11:27:00+05:30,32.75,39.5,32.75,38.85,5390950,19929800
2024-11-21 11:30:00+05:30,38.85,44.1,37,38.45,7230000,19740650
2024-11-21 11:33:00+05:30,38.45,41.6,36.2,38.35,4104825,19924475
2024-11-21 11:36:00+05:30,38.35,40.15,30.15,31.3,6662000,20082375
2024-11-21 11:39:00+05:30,31.3,36.85,31.15,34.45,4889025,20449750
2024-11-21 11:42:00+05:30,34.4,36.55,31.6,34.35,4447450,20580025
2024-11-21 11:45:00+05:30,34.4,37.85,31.6,35.9,5533200,20561400
2024-11-21 11:48:00+05:30,35.85,37.95,32.85,35.65,3897825,20548300
2024-11-21 11:51:00+05:30,35.65,39.5,33.6,37.75,4162775,20566325
2024-11-21 11:54:00+05:30,37.8,42.4,36.6,39.25,5837175,20240025
2024-11-21 11:57:00+05:30,39.25,45.3,37,44.05,6649900,20496450
2024-11-21 12:00:00+05:30,44.2,63,43.3,53.2,17357100,17803600
2024-11-21 12:03:00+05:30,53.4,56.3,51.25,53.45,5988500,16927575
2024-11-21 12:06:00+05:30,53.45,53.65,36.55,39.6,9560775,16211425
2024-11-21 12:09:00+05:30,39.6,43.45,38.7,41.9,4646850,16246475
2024-11-21 12:12:00+05:30,41.9,45.7,40.6,43.95,3844475,16270775
2024-11-21 12:15:00+05:30,43.85,46.55,39.75,40.1,4150975,16126575
2024-11-21 12:18:00+05:30,40.1,47.1,39,45.45,4307150,16219225
2024-11-21 12:21:00+05:30,45.45,46.95,40.6,41.95,3374575,16224675
2024-11-21 12:24:00+05:30,42.25,45.2,41,43.7,2384150,16356050
2024-11-21 12:27:00+05:30,43.7,45.65,43,44.2,1878100,16373325
2024-11-21 12:30:00+05:30,44.2,45.2,35.9,39.15,6515675,16197100
2024-11-21 12:33:00+05:30,38.95,41.45,36.65,39.65,3167725,16203225
2024-11-21 12:36:00+05:30,39.65,42.55,38.55,40.95,3087525,16226300
2024-11-21 12:39:00+05:30,40.95,43,39.75,40.3,2540250,16333050
2024-11-21 12:42:00+05:30,39.95,41.15,32.05,35.1,5111625,16375650
2024-11-21 12:45:00+05:30,35,37.75,34.95,36.4,3046725,16477225
2024-11-21 12:48:00+05:30,36.4,36.5,26.4,29.15,9057100,16843775
2024-11-21 12:51:00+05:30,29.15,31.3,26.35,29.65,5186050,17344875
2024-11-21 12:54:00+05:30,29.65,31.55,23.75,24.7,5610725,17152475
2024-11-21 12:57:00+05:30,24.2,25.15,17.8,18.5,16036450,18588400
2024-11-21 13:00:00+05:30,18.5,26.05,16.8,25.65,14357300,19839750
