date,open,high,low,close,volume,oi
2024-11-19 09:15:00+05:30,140,159,105.85,105.95,1992875,2112475
2024-11-19 09:18:00+05:30,105.4,116.65,103.3,107.05,2695850,2817550
2024-11-19 09:21:00+05:30,106.5,112.7,98.4,100.4,2517775,3579425
2024-11-19 09:24:00+05:30,100.4,100.4,87.45,94.75,3166450,4257225
2024-11-19 09:27:00+05:30,94.55,95.7,80,80.55,3008175,4972400
2024-11-19 09:30:00+05:30,80.1,89.45,77.6,80.7,2891650,5502500
2024-11-19 09:33:00+05:30,80.7,88.3,70.9,74.8,2524550,5729125
2024-11-19 09:36:00+05:30,74.8,80.4,67.35,70.4,2045550,6067275
2024-11-19 09:39:00+05:30,70.4,74.6,68.5,72.3,1193025,6287000
2024-11-19 09:42:00+05:30,72.45,74.85,60.55,60.55,1967900,6493550
2024-11-19 09:45:00+05:30,61,64.7,58.35,63.1,2142425,6632575
2024-11-19 09:48:00+05:30,63.8,76.75,63.5,75.05,2679075,6663550
2024-11-19 09:51:00+05:30,75.05,82.3,68.7,70.35,2472225,6665950
2024-11-19 09:54:00+05:30,70.35,73.4,57.3,68.2,2285800,6574075
2024-11-19 09:57:00+05:30,68.2,71.55,65.6,66.95,811050,6599750
2024-11-19 10:00:00+05:30,66.95,66.95,60,63.55,1290875,6646350
2024-11-19 10:03:00+05:30,63.9,65.9,59.35,62,1329575,6786700
2024-11-19 10:06:00+05:30,62.4,65.3,60.05,63.15,841575,6820675
2024-11-19 10:09:00+05:30,63.05,63.85,55.35,60.1,1187725,6905975
2024-11-19 10:12:00+05:30,60.35,64.35,59.15,64.05,903625,7000350
2024-11-19 10:15:00+05:30,63.95,67.15,60.25,61.25,1030075,7048175
2024-11-19 10:18:00+05:30,60.85,64.15,58.1,59.95,1033125,7074125
2024-11-19 10:21:00+05:30,59.95,61.9,56,56.2,968675,7096050
2024-11-19 10:24:00+05:30,56.2,56.8,46.8,48.95,2783125,7055550
2024-11-19 10:27:00+05:30,48.95,50.15,47.05,47.4,1770400,7159425
2024-11-19 10:30:00+05:30,47.4,50.35,44.7,49.15,1538200,7282550
2024-11-19 10:33:00+05:30,49.45,51.55,48.4,48.9,982425,7396250
2024-11-19 10:36:00+05:30,48.9,50.8,46.85,49,961550,7499850
2024-11-19 10:39:00+05:30,49,50.15,46.15,48.4,721275,7497050
2024-11-19 10:42:00+05:30,48.4,55.3,48.4,53.45,1182850,7560025
2024-11-19 10:45:00+05:30,53.4,58.05,52,55.35,1141800,7560450
2024-11-19 10:48:00+05:30,55.25,61.85,54.6,61.1,1683975,7648325
2024-11-19 10:51:00+05:30,61.1,63.5,56.15,61.4,1197800,7456500
2024-11-19 10:54:00+05:30,61.4,62.15,51.1,56.65,1222075,7445625
2024-11-19 10:57:00+05:30,56.65,59,52.95,54.05,638075,7458325
2024-11-19 11:00:00+05:30,53.75,53.95,48,52.45,1058150,7445250
2024-11-19 11:03:00+05:30,52.35,53.55,47.75,48.65,760675,7523825
2024-11-19 11:06:00+05:30,48.15,48.8,45.95,46.4,728325,7606575
2024-11-19 11:09:00+05:30,46.6,48.15,45.4,47.2,799475,7689500
2024-11-19 11:12:00+05:30,47.25,48.6,45.8,46.15,502175,7845000
2024-11-19 11:15:00+05:30,46.15,48.1,45.9,47.35,412325,7890675
2024-11-19 11:18:00+05:30,47.5,47.6,43.45,45.65,878400,7899800
2024-11-19 11:21:00+05:30,45.9,46.9,43.1,43.55,603475,7982950
2024-11-19 11:24:00+05:30,43.65,43.65,37.5,38.2,2177675,7982400
2024-11-19 11:27:00+05:30,38.3,41.2,38.1,39.85,1131300,8248250
2024-11-19 11:30:00+05:30,39.85,40.4,37.05,38.45,800525,8350775
2024-11-19 11:33:00+05:30,38.45,39.9,36.4,39.7,1120025,8276875
2024-11-19 11:36:00+05:30,39.7,39.7,36.8,37.3,745425,8270125
2024-11-19 11:39:00+05:30,37.3,37.65,35.3,37.45,855250,8302875
2024-11-19 11:42:00+05:30,37.5,37.8,36.25,36.75,475200,8278875
2024-11-19 11:45:00+05:30,37,38.25,36.15,36.95,526425,8307500
2024-11-19 11:48:00+05:30,36.95,37.75,33.85,37.6,917700,8353300
2024-11-19 11:51:00+05:30,37.55,37.8,35.8,36.6,460250,8349075
2024-11-19 11:54:00+05:30,36.8,38.95,36.25,38.3,538400,8349675
2024-11-19 11:57:00+05:30,38.3,39.65,37.65,39.1,758000,8349025
2024-11-19 12:00:00+05:30,38.95,39.85,36.65,37.85,537975,8261325
2024-11-19 12:03:00+05:30,37.85,38.85,35.7,35.95,457150,8244600
2024-11-19 12:06:00+05:30,35.95,42.05,35.85,41.45,959600,8305375
2024-11-19 12:09:00+05:30,41.65,43.2,40.75,41.15,818425,8180325
2024-11-19 12:12:00+05:30,41.15,41.95,37.6,38.05,646275,8141700
2024-11-19 12:15:00+05:30,38.05,38.65,35.85,36.1,563300,8077325
2024-11-19 12:18:00+05:30,36.1,36.8,33.95,35.9,703325,8052625
2024-11-19 12:21:00+05:30,35.9,37.15,35.45,36.9,381775,8003450
2024-11-19 12:24:00+05:30,36.9,40.2,36.3,39.8,533450,8020175
2024-11-19 12:27:00+05:30,39.8,40.5,38.5,39.7,479125,7992950
2024-11-19 12:30:00+05:30,39.7,41,36.9,38.2,534500,8004575
2024-11-19 12:33:00+05:30,38.2,39.95,37.55,39.2,382475,7981550
2024-11-19 12:36:00+05:30,39.1,39.2,37.05,38.6,283950,7975775
2024-11-19 12:39:00+05:30,38.6,40.6,37.15,39.95,397175,7976300
2024-11-19 12:42:00+05:30,40,44.7,39.05,44.45,1039975,7935175
2024-11-19 12:45:00+05:30,44.55,46.8,42.15,42.5,1391050,7878425
2024-11-19 12:48:00+05:30,42.5,43,37.8,39.6,807400,7847425
2024-11-19 12:51:00+05:30,39.55,41,37.85,40.3,472250,7870400
2024-11-19 12:54:00+05:30,40.25,41.55,38.7,39.75,368975,7882300
2024-11-19 12:57:00+05:30,39.8,39.9,38.05,38.15,322675,7873900
2024-11-19 13:00:00+05:30,38.15,38.5,35.4,35.8,618525,7884875
2024-11-19 13:03:00+05:30,35.8,38.15,35.75,37.25,330200,7905750
2024-11-19 13:06:00+05:30,37.2,37.9,35.55,36.55,295425,7911825
2024-11-19 13:09:00+05:30,36.65,37.2,34.3,36.75,513925,7915350
2024-11-19 13:12:00+05:30,36.6,36.7,34.85,34.85,322750,7898950
2024-11-19 13:15:00+05:30,34.85,36.35,34.25,36,323350,7878400
2024-11-19 13:18:00+05:30,36,36.15,34.65,35.2,269250,7871125
2024-11-19 13:21:00+05:30,35.2,36.95,34.65,36.45,356725,7898350
2024-11-19 13:24:00+05:30,36.5,40.85,36.2,39,733375,7883750
2024-11-19 13:27:00+05:30,38.9,39.65,36.95,38.15,433925,7859200
2024-11-19 13:30:00+05:30,38.15,39.25,33.6,34.35,692600,7848575
2024-11-19 13:33:00+05:30,34.35,34.95,33.2,33.25,431775,7877700
2024-11-19 13:36:00+05:30,33.45,36.4,33.45,34.95,466500,7908050
2024-11-19 13:39:00+05:30,34.95,36.3,33.8,36,391050,7874675
2024-11-19 13:42:00+05:30,36,36.85,34.55,36.3,330000,7850700
2024-11-19 13:45:00+05:30,36.3,36.5,34.35,34.55,281850,7833750
2024-11-19 13:48:00+05:30,34.55,36.4,34.1,35.4,293600,7835675
2024-11-19 13:51:00+05:30,35.3,36.2,34.2,34.75,251275,7839050
2024-11-19 13:54:00+05:30,34.75,35.25,32.7,34.6,582825,7876950
2024-11-19 13:57:00+05:30,34.45,34.8,33.5,34.4,241700,7863475
2024-11-19 14:00:00+05:30,34.4,38.75,34,38.25,759325,7837575
2024-11-19 14:03:00+05:30,38.15,42.35,36.7,42.05,1099750,7708825
2024-11-19 14:06:00+05:30,41.8,53.8,41.3,50.3,2456125,7492275
2024-11-19 14:09:00+05:30,50.3,59.15,46.2,57.45,3603850,7029450
2024-11-19 14:12:00+05:30,57.45,59.8,50.6,57.65,2705925,6509325
2024-11-19 14:15:00+05:30,57.4,58.95,51.85,53.15,1892075,6355600
2024-11-19 14:18:00+05:30,53.15,53.55,44.3,51.6,1757675,6340025
2024-11-19 14:21:00+05:30,51.6,55.3,50.35,53.9,1238750,6296700
2024-11-19 14:24:00+05:30,54.15,57.25,51.7,55.65,990600,6296000
2024-11-19 14:27:00+05:30,55.5,64.75,55.5,59.85,2089950,6133125
2024-11-19 14:30:00+05:30,59.75,63.35,51.65,57.15,1910000,6095975
2024-11-19 14:33:00+05:30,57.35,62.55,56.8,58.95,1380075,5955725
