date,open,high,low,close,volume,oi
2024-11-11 09:15:00+05:30,101,101,72.65,77.15,1912850,4377150
2024-11-11 09:18:00+05:30,77.15,82.25,75.8,79.25,1075125,4539800
2024-11-11 09:21:00+05:30,79.25,97.1,78.6,82.95,1548075,4728800
2024-11-11 09:24:00+05:30,82.95,87.25,75.8,75.8,810975,4905575
2024-11-11 09:27:00+05:30,76.35,90.9,75.1,88,878475,5011450
2024-11-11 09:30:00+05:30,88,108.65,87.25,100.75,1925850,5020225
2024-11-11 09:33:00+05:30,100.75,115.35,99.45,111.45,1496975,5073675
2024-11-11 09:36:00+05:30,111.45,117.05,102.9,103.1,1264775,5061025
2024-11-11 09:39:00+05:30,103.1,106.05,89.9,94.95,1100800,5075700
2024-11-11 09:42:00+05:30,94.95,114.7,90.8,111,1173500,5056825
2024-11-11 09:45:00+05:30,110.95,113.75,101.3,103.05,900325,5138500
2024-11-11 09:48:00+05:30,102.7,122.95,101.7,116,2064775,5240500
2024-11-11 09:51:00+05:30,115.55,119.6,106.5,110.5,993400,5395725
2024-11-11 09:54:00+05:30,110.5,114.25,100.75,103.1,915975,5467075
2024-11-11 09:57:00+05:30,103.55,125,103.55,111.85,1985225,5490500
2024-11-11 10:00:00+05:30,111.35,111.95,100.1,100.55,1009075,5595625
2024-11-11 10:03:00+05:30,100.5,109.3,96.1,108.3,890900,5588075
2024-11-11 10:06:00+05:30,108.4,111.8,100.5,104.15,845025,5588600
2024-11-11 10:09:00+05:30,104.75,107.55,100.2,101,390875,5615550
2024-11-11 10:12:00+05:30,101,102.6,92.15,94.55,921650,5652750
2024-11-11 10:15:00+05:30,94.55,98.75,91.15,95.85,651225,5656650
2024-11-11 10:18:00+05:30,95.85,98.45,90.45,93.15,480750,5694200
2024-11-11 10:21:00+05:30,93.15,104.5,92.6,102.45,892725,5757825
2024-11-11 10:24:00+05:30,102.35,118.15,101.55,115.9,1434000,5888450
2024-11-11 10:27:00+05:30,115.3,156.2,115,156.2,4464200,5708575
2024-11-11 10:30:00+05:30,157.65,169,154.7,156.45,2876425,5233375
2024-11-11 10:33:00+05:30,156.2,160.5,147.55,152.55,1250800,5120000
2024-11-11 10:36:00+05:30,152.3,165,152.3,163.65,1556875,5196650
2024-11-11 10:39:00+05:30,163.65,175.95,163.65,173.7,1914175,5050475
2024-11-11 10:42:00+05:30,173.7,176.9,154.2,156.9,1158975,4939900
2024-11-11 10:45:00+05:30,157.35,165,151.1,156.8,997850,4932625
2024-11-11 10:48:00+05:30,157.9,162.45,153,155.65,549625,4885825
2024-11-11 10:51:00+05:30,155.85,160.5,149.6,155.55,527875,4906925
2024-11-11 10:54:00+05:30,154.9,166,154.9,164.45,922750,4911450
2024-11-11 10:57:00+05:30,164.45,170.3,159,168.9,803375,4910950
2024-11-11 11:00:00+05:30,168,173.2,164.4,167.15,772275,4853925
2024-11-11 11:03:00+05:30,168.05,179,166.2,177.25,1006775,4828700
2024-11-11 11:06:00+05:30,177.2,180.35,168.5,171.55,888625,4587250
2024-11-11 11:09:00+05:30,172.15,182,169,176.1,777925,4501050
2024-11-11 11:12:00+05:30,176.1,202.7,175.4,198,1510150,4407050
2024-11-11 11:15:00+05:30,199,214,198.5,208.45,1162950,4152925
2024-11-11 11:18:00+05:30,208.45,210.35,197.3,198.75,582575,3969750
2024-11-11 11:21:00+05:30,199.3,204.9,193.65,202.95,360175,3923800
2024-11-11 11:24:00+05:30,203.35,204.3,193.8,196.35,252900,3919625
2024-11-11 11:27:00+05:30,196.35,202.35,191.5,194.9,301925,3923775
2024-11-11 11:30:00+05:30,194.9,205.35,194.55,204.25,277825,3916725
2024-11-11 11:33:00+05:30,204.45,207.2,196.4,201.9,314725,3893550
2024-11-11 11:36:00+05:30,202.6,205.9,195,196.45,232200,3873150
2024-11-11 11:39:00+05:30,196.45,203.8,196.35,201.2,159350,3859700
2024-11-11 11:42:00+05:30,201.2,221,200.15,217,586825,3837075
2024-11-11 11:45:00+05:30,217,220,201.1,202.4,401175,3791100
2024-11-11 11:48:00+05:30,202.4,203.25,189.75,190.55,351050,3773350
2024-11-11 11:51:00+05:30,190,195.75,182.5,187.85,453000,3713075
2024-11-11 11:54:00+05:30,188.05,192.4,182.15,182.75,211300,3729675
2024-11-11 11:57:00+05:30,183.05,184.9,176.05,178.2,352525,3727975
2024-11-11 12:00:00+05:30,178.2,183.7,164.85,165.45,519325,3737875
2024-11-11 12:03:00+05:30,165.4,173.25,162.95,167.65,703350,3647800
2024-11-11 12:06:00+05:30,167.75,168.2,154.7,160.2,538925,3694100
2024-11-11 12:09:00+05:30,160.2,163,144.25,144.25,847925,3750075
2024-11-11 12:12:00+05:30,144.4,155.85,141.5,154.9,817075,3801900
2024-11-11 12:15:00+05:30,155.2,159.8,153.25,155.2,673050,3941775
2024-11-11 12:18:00+05:30,154.95,155.5,139.9,148.65,762900,4008650
2024-11-11 12:21:00+05:30,148.65,148.65,125.55,136,1450275,4067975
2024-11-11 12:24:00+05:30,136,136.95,129.15,135.25,763225,4319775
2024-11-11 12:27:00+05:30,135.25,144.8,130.7,140,867825,4422750
2024-11-11 12:30:00+05:30,140.2,147.05,140,145.3,854025,4539500
2024-11-11 12:33:00+05:30,145.1,145.4,134.2,139.85,737625,4544000
2024-11-11 12:36:00+05:30,139.85,150.6,139.8,148.2,914800,4601200
2024-11-11 12:39:00+05:30,148.2,152.7,143.7,149.95,678400,4590075
2024-11-11 12:42:00+05:30,149.8,151.85,143,147.15,457700,4607650
2024-11-11 12:45:00+05:30,147.05,155.45,147.05,153.8,672550,4522550
2024-11-11 12:48:00+05:30,154.1,154.45,139,142,694925,4432950
2024-11-11 12:51:00+05:30,142.7,143.85,136.6,143.7,457100,4398375
2024-11-11 12:54:00+05:30,143.7,144.8,135.6,137.75,380575,4405475
2024-11-11 12:57:00+05:30,137.75,140.05,132.1,139.45,504175,4388625
2024-11-11 13:00:00+05:30,139.5,143.3,134.2,141.95,471625,4378200
2024-11-11 13:03:00+05:30,141.65,145.85,140.7,142,375625,4381500
2024-11-11 13:06:00+05:30,142,142,135.1,135.9,370950,4403925
2024-11-11 13:09:00+05:30,136.25,138.65,131.8,134,423200,4435350
2024-11-11 13:12:00+05:30,133.25,134.1,124.35,132.3,918925,4505400
2024-11-11 13:15:00+05:30,132.35,137.5,128.35,135.8,499600,4543200
2024-11-11 13:18:00+05:30,136.2,136.2,113.5,121.3,1315200,4554075
2024-11-11 13:21:00+05:30,122.2,133.3,118.3,131.85,985800,4648150
2024-11-11 13:24:00+05:30,131.6,133.8,127.4,127.95,673975,4707275
2024-11-11 13:27:00+05:30,127.9,133.3,123.25,124.3,583450,4763850
2024-11-11 13:30:00+05:30,124.3,130.2,121.95,128.7,546600,4844500
2024-11-11 13:33:00+05:30,129.1,131.9,124.1,125.35,435800,4876925
2024-11-11 13:36:00+05:30,125.2,125.2,117.55,122.95,696625,4909050
2024-11-11 13:39:00+05:30,122.6,122.95,113.4,117.9,765225,4979950
2024-11-11 13:42:00+05:30,118.1,119.35,95.7,98.95,1815975,4978550
2024-11-11 13:45:00+05:30,98.95,101.3,94.95,96.7,1167875,5043975
2024-11-11 13:48:00+05:30,96.8,101.2,94.05,99.95,834050,5136375
2024-11-11 13:51:00+05:30,99.95,100.25,91.7,92.9,707650,5187525
2024-11-11 13:54:00+05:30,92.65,100.2,90.8,98.65,785400,5260250
2024-11-11 13:57:00+05:30,98.4,105.75,98.2,105.1,1048100,5294775
2024-11-11 14:00:00+05:30,104.45,108.55,101.6,102.35,1016725,5391500
2024-11-11 14:03:00+05:30,102.35,108,96.4,97,939425,5442575
2024-11-11 14:06:00+05:30,97,98.5,91.85,97.6,650025,5422775
2024-11-11 14:09:00+05:30,98,98,89.1,90.9,912200,5463400
2024-11-11 14:12:00+05:30,90.85,94.35,83.15,84.6,951625,5501600
2024-11-11 14:15:00+05:30,84.25,84.65,73.5,74.5,1659075,5491275
2024-11-11 14:18:00+05:30,75.15,76.95,69.95,76.6,1377125,5620250
2024-11-11 14:21:00+05:30,76.6,83.65,76.5,80.5,998800,5596575
2024-11-11 14:24:00+05:30,80.6,85.6,78.5,84.9,802350,5647125
2024-11-11 14:27:00+05:30,85,93.45,83.95,92.8,1181150,5650000
2024-11-11 14:30:00+05:30,92.85,98.3,90.05,97.25,1413075,5610975
2024-11-11 14:33:00+05:30,97.25,120.35,96.75,118.2,2933650,5626125
2024-11-11 14:36:00+05:30,119,121.7,107.8,116,1744650,5337900
2024-11-11 14:39:00+05:30,115.7,129.15,114.7,115.95,2566125,5252150
2024-11-11 14:42:00+05:30,116.2,122.3,114.45,120.65,1047600,5201425
2024-11-11 14:45:00+05:30,119.65,120.3,113.7,118,848450,5216250
2024-11-11 14:48:00+05:30,118,120.55,110.4,118.65,1095925,5205975
2024-11-11 14:51:00+05:30,117.85,130.5,112.5,120.2,1954750,5190250
2024-11-11 14:54:00+05:30,119.4,121.9,109.55,111.3,1053500,5168325
2024-11-11 14:57:00+05:30,111,115,105.8,110.25,1063850,5058225
2024-11-11 15:00:00+05:30,110.7,111.75,84.8,86.35,2106850,4972725
2024-11-11 15:03:00+05:30,86.35,96.3,83.4,95.25,1239725,5024425
2024-11-11 15:06:00+05:30,95.2,97.65,91.2,96.3,772900,5031675
2024-11-11 15:09:00+05:30,96.4,106.85,95.85,105.7,633550,5031675
