date,open,high,low,close,volume,oi
2024-10-28 09:15:00+05:30,14.75,17.3,10,14.85,377025,503450
2024-10-28 09:18:00+05:30,14.85,20.35,13.65,18.75,294325,497900
2024-10-28 09:21:00+05:30,18.75,20.15,15.45,18.95,247825,497800
2024-10-28 09:24:00+05:30,18.95,22.7,17,18.55,324925,509700
2024-10-28 09:27:00+05:30,18.55,20.8,15.8,16.85,192875,598150
2024-10-28 09:30:00+05:30,16.85,17.35,12.75,15,368000,607600
2024-10-28 09:33:00+05:30,15,15.9,12.4,12.95,149550,541650
2024-10-28 09:36:00+05:30,12.7,12.9,11.45,12.45,238400,550725
2024-10-28 09:39:00+05:30,12.45,13.05,9.8,10.25,102925,539975
2024-10-28 09:42:00+05:30,10.25,10.75,9.2,9.45,208400,544575
2024-10-28 09:45:00+05:30,9.45,16.35,8.6,14.4,424350,572100
2024-10-28 09:48:00+05:30,14.4,15.85,12.2,13.15,246625,557700
2024-10-28 09:51:00+05:30,13.15,15,12.6,15,190550,552100
2024-10-28 09:54:00+05:30,15,22,14.85,20.4,502775,549225
2024-10-28 09:57:00+05:30,20.4,21.4,15.85,20.3,329875,561900
2024-10-28 10:00:00+05:30,20.3,21.65,12.85,13.95,422425,581350
2024-10-28 10:03:00+05:30,13.95,15.15,13.25,14.65,184525,584525
2024-10-28 10:06:00+05:30,14.65,17.35,13.9,14.65,302425,578750
2024-10-28 10:09:00+05:30,14.65,15.5,12.8,13.95,188275,570175
2024-10-28 10:12:00+05:30,13.95,16.05,13.25,15.05,133250,566000
2024-10-28 10:15:00+05:30,14.8,18.3,14.15,17.8,176000,557850
2024-10-28 10:18:00+05:30,17.8,21,17.3,20,182325,569850
2024-10-28 10:21:00+05:30,19.6,19.8,16,16.2,137875,579425
2024-10-28 10:24:00+05:30,16.2,18.45,15.5,15.5,122775,596450
2024-10-28 10:27:00+05:30,15.5,15.7,13.8,14.75,184575,593350
2024-10-28 10:30:00+05:30,14.75,17,13.35,14.15,141950,584900
2024-10-28 10:33:00+05:30,14.15,14.9,13.65,14.9,80900,591325
2024-10-28 10:36:00+05:30,14.9,16.3,14.3,15.25,133200,591175
2024-10-28 10:39:00+05:30,15.3,17.55,15.25,15.7,94400,577825
2024-10-28 10:42:00+05:30,15.7,17,14.95,15.6,71425,577250
2024-10-28 10:45:00+05:30,15.5,16.7,15.15,15.4,71675,586125
2024-10-28 10:48:00+05:30,15.45,17.1,15.05,15.55,126950,583650
