date,open,high,low,close,volume,oi
2024-11-06 09:15:00+05:30,300,320,158.4,158.4,2288925,332250
2024-11-06 09:18:00+05:30,162.4,169.35,127.1,154.8,2082510,943005
2024-11-06 09:21:00+05:30,153.5,223.75,145.35,196.45,3831450,1378305
2024-11-06 09:24:00+05:30,196.45,196.45,119,161.75,3455820,1692075
2024-11-06 09:27:00+05:30,161.75,183.45,118.5,118.5,2182860,1945725
2024-11-06 09:30:00+05:30,119.7,141.1,113.35,127.9,2159595,2302170
2024-11-06 09:33:00+05:30,127.9,180.25,122.3,166.35,2848605,2635695
2024-11-06 09:36:00+05:30,166.35,183.6,153.4,162.6,2870505,2644875
2024-11-06 09:39:00+05:30,159.7,162.6,112,151.9,2814615,2798595
2024-11-06 09:42:00+05:30,151.9,163.75,127.15,129.35,1960605,3050505
2024-11-06 09:45:00+05:30,130.1,145,118,119.15,2115780,3281880
2024-11-06 09:48:00+05:30,118.9,118.9,90.6,97.65,2445630,3484695
2024-11-06 09:51:00+05:30,96.5,103.4,81.2,100.7,2818095,3722400
2024-11-06 09:54:00+05:30,100.7,141.65,88.25,127.8,3927525,3893760
2024-11-06 09:57:00+05:30,127.8,135.25,113.25,117.25,2250450,3803565
2024-11-06 10:00:00+05:30,117.25,121.2,77.4,80.3,2977545,4093950
2024-11-06 10:03:00+05:30,80.75,88.15,72.4,81.8,2358300,4363605
2024-11-06 10:06:00+05:30,81.8,81.8,61.6,72.95,2629125,4689450
2024-11-06 10:09:00+05:30,73.1,77.8,65,73,1977765,4799370
2024-11-06 10:12:00+05:30,73,81.35,72,77.4,2288700,4976910
2024-11-06 10:15:00+05:30,77.4,86.2,73.05,81.9,2555685,5103810
2024-11-06 10:18:00+05:30,81.9,83.1,61.4,77.35,2720355,5338470
2024-11-06 10:21:00+05:30,77.35,81.6,69.1,73.55,2222460,5497245
2024-11-06 10:24:00+05:30,73.55,83.1,71.9,78.2,2163960,5636250
2024-11-06 10:27:00+05:30,78.2,164.05,69.95,151,6932790,5912685
2024-11-06 10:30:00+05:30,153.2,181.5,123.8,132.55,5055450,4734165
2024-11-06 10:33:00+05:30,132.9,137.3,115.5,133.45,2581770,4448460
2024-11-06 10:36:00+05:30,132.9,145.5,123.2,138.75,1950720,4258995
2024-11-06 10:39:00+05:30,137.45,156.2,129.8,138.5,1953675,4182345
2024-11-06 10:42:00+05:30,139.45,152.8,126.85,146,1853670,4214775
2024-11-06 10:45:00+05:30,146,150.85,120.75,126.05,1961700,4083060
2024-11-06 10:48:00+05:30,126.05,136.2,118.45,127.75,1371600,4185885
2024-11-06 10:51:00+05:30,127.75,134.2,73.6,75.9,3145470,4211190
2024-11-06 10:54:00+05:30,75.9,83.9,66.6,74.85,3692190,4516425
2024-11-06 10:57:00+05:30,74.85,79.15,70.35,71.9,1906140,4905675
2024-11-06 11:00:00+05:30,71.9,76.45,63,66.05,2443620,5122680
2024-11-06 11:03:00+05:30,66,78.55,65.3,74.65,3088335,5216910
2024-11-06 11:06:00+05:30,74.7,81.15,71.7,78.75,2205795,5481150
2024-11-06 11:09:00+05:30,79.2,80.35,63,66.7,2549565,5500320
2024-11-06 11:12:00+05:30,66.2,72.8,63.8,67,1904955,5800440
2024-11-06 11:15:00+05:30,67,69.5,54,61.65,3133740,6009615
2024-11-06 11:18:00+05:30,61.65,65.7,57.5,64.4,1821585,6120765
2024-11-06 11:21:00+05:30,64.4,64.4,55.5,62.55,2087685,6256320
2024-11-06 11:24:00+05:30,62.55,65.6,53,58.35,2471685,6302265
2024-11-06 11:27:00+05:30,58.65,60.8,55.5,57.8,1618350,6606795
2024-11-06 11:30:00+05:30,57.25,59.55,46.8,53.1,3116985,6683655
2024-11-06 11:33:00+05:30,52.9,53.1,38.4,45,5002650,6866175
2024-11-06 11:36:00+05:30,44.9,46.7,40.6,42.3,2685510,7203285
2024-11-06 11:39:00+05:30,42.25,44.45,37.2,38.2,2785155,7583910
2024-11-06 11:42:00+05:30,38.2,42,32.2,33.8,2928765,7988715
2024-11-06 11:45:00+05:30,33.8,35.5,29.5,32.15,3730530,8233845
2024-11-06 11:48:00+05:30,32.1,36.4,31.2,31.75,2831505,8215215
2024-11-06 11:51:00+05:30,31.75,33.85,25.6,27.5,3686220,8428470
2024-11-06 11:54:00+05:30,27.5,29,23.15,23.15,3470595,8661120
