date,open,high,low,close,volume,oi
2024-11-04 09:15:00+05:30,36.65,78.85,36.15,69,504975,406150
2024-11-04 09:18:00+05:30,69,77.5,61.05,73.35,342550,395750
2024-11-04 09:21:00+05:30,73.35,80.1,67.15,72.9,333300,419625
2024-11-04 09:24:00+05:30,72.4,83,66.95,76.75,528625,468325
2024-11-04 09:27:00+05:30,76.75,84.05,73.45,81.65,329275,473325
2024-11-04 09:30:00+05:30,82.4,82.7,67.05,72.15,347925,480125
2024-11-04 09:33:00+05:30,73.35,90.7,71.3,82.1,492500,519000
2024-11-04 09:36:00+05:30,81.55,84.6,73.2,78.05,268525,512150
2024-11-04 09:39:00+05:30,77.3,84.35,76.3,77.75,228750,528625
2024-11-04 09:42:00+05:30,77.75,83.4,72.1,80.5,373475,558675
2024-11-04 09:45:00+05:30,80.5,89.2,80.15,81.95,400300,576575
2024-11-04 09:48:00+05:30,81.95,86.45,77.05,79.7,241325,612525
2024-11-04 09:51:00+05:30,79.7,85.6,77.75,84.8,235925,619100
2024-11-04 09:54:00+05:30,84.8,86.1,69.6,74.35,301100,606975
2024-11-04 09:57:00+05:30,74.35,78.3,66.7,67.65,326775,631350
2024-11-04 10:00:00+05:30,67.65,75.15,63.45,72.65,327475,650825
2024-11-04 10:03:00+05:30,72.6,84.15,72.6,81.35,249475,656275
2024-11-04 10:06:00+05:30,81.65,88.05,80.2,86.6,450150,653375
2024-11-04 10:09:00+05:30,86.4,95,85.2,89.05,504825,687650
2024-11-04 10:12:00+05:30,88.65,101.2,86.65,92.9,607250,681950
2024-11-04 10:15:00+05:30,92.65,99.85,89.3,89.9,461525,674725
2024-11-04 10:18:00+05:30,90.35,94,84.6,89.4,331325,714875
2024-11-04 10:21:00+05:30,89.4,93.5,83.5,87.3,282725,741375
2024-11-04 10:24:00+05:30,87.3,92.55,85.55,90.2,294200,788075
2024-11-04 10:27:00+05:30,90.2,94.2,87,91.15,289900,788925
2024-11-04 10:30:00+05:30,91.05,93.25,76.3,80.5,483200,848625
2024-11-04 10:33:00+05:30,81,88.65,81,87.1,267875,866000
2024-11-04 10:36:00+05:30,86.9,94.65,85.25,93.3,413950,837975
2024-11-04 10:39:00+05:30,93.15,98.4,92,95.9,478825,863225
2024-11-04 10:42:00+05:30,95.5,102.55,95.2,97.8,476175,872425
2024-11-04 10:45:00+05:30,97.65,99.4,89.85,91.1,366475,874850
2024-11-04 10:48:00+05:30,91.3,99.5,91.15,98.9,235925,908325
2024-11-04 10:51:00+05:30,99.15,100.6,95,98.2,274400,911675
2024-11-04 10:54:00+05:30,98.2,101.55,96.7,100.2,355825,924400
