date,open,high,low,close,volume,oi
2024-11-22 09:15:00+05:30,10.6,19.9,10.15,17.35,1006840,615980
2024-11-22 09:18:00+05:30,17.15,25,15.65,20.4,690830,665700
2024-11-22 09:21:00+05:30,20.25,59.35,20.25,51.9,1379900,774270
2024-11-22 09:24:00+05:30,54.15,55.65,46,48.85,1174290,792720
2024-11-22 09:27:00+05:30,48.1,75,44.3,61.55,1698960,822250
2024-11-22 09:30:00+05:30,61.1,72.6,59.2,59.7,1069320,840720
2024-11-22 09:33:00+05:30,59.7,61.6,47.6,57.25,904010,805300
2024-11-22 09:36:00+05:30,57.9,62.95,51.25,58.05,856910,823670
2024-11-22 09:39:00+05:30,57.5,66.9,50,51.3,1724000,840230
2024-11-22 09:42:00+05:30,49.8,54.2,43.7,43.7,736030,823220
2024-11-22 09:45:00+05:30,43.25,46.55,35.3,36.85,874740,895080
2024-11-22 09:48:00+05:30,36.15,42.05,32.3,34.05,702840,879850
2024-11-22 09:51:00+05:30,33,33.4,28.15,31.05,687340,869500
2024-11-22 09:54:00+05:30,30.85,45.25,29.55,38.35,961520,874910
2024-11-22 09:57:00+05:30,37.3,47.5,33.5,44.8,954870,881900
2024-11-22 10:00:00+05:30,45.7,87.85,41.2,62.1,1341140,891730
2024-11-22 10:03:00+05:30,63.4,133,61,118.55,1841600,949520
2024-11-22 10:06:00+05:30,118.1,138.7,98,127.8,1297280,777680
2024-11-22 10:09:00+05:30,128.25,139.65,106.9,109.55,953180,733610
2024-11-22 10:12:00+05:30,110.65,136.7,107.95,112.85,1000320,736990
2024-11-22 10:15:00+05:30,114.1,123,100.1,115.85,797990,773140
2024-11-22 10:18:00+05:30,115.5,117.65,104.7,114.95,488150,778320
2024-11-22 10:21:00+05:30,113.9,120.1,88.05,89.25,915050,783690
2024-11-22 10:24:00+05:30,91.65,95.8,78,80.35,879220,848350
2024-11-22 10:27:00+05:30,79.1,95.2,75.6,93.4,855940,894270
2024-11-22 10:30:00+05:30,91.75,105,74.15,79,1051070,933560
2024-11-22 10:33:00+05:30,76.9,90.2,71.65,77.8,745470,906180
2024-11-22 10:36:00+05:30,77.8,90.85,77,87.1,519990,1017410
2024-11-22 10:39:00+05:30,88.3,97.7,78.8,78.8,609170,1016000
2024-11-22 10:42:00+05:30,78.45,86.1,72.05,75.6,629130,979810
2024-11-22 10:45:00+05:30,74.4,77.6,60.5,62.1,843240,985070
2024-11-22 10:48:00+05:30,62.9,62.95,54.6,59.45,882180,997980
2024-11-22 10:51:00+05:30,60.1,64.4,56.15,59.8,591840,1039750
2024-11-22 10:54:00+05:30,58.55,73.95,58.5,63.25,675830,999340
2024-11-22 10:57:00+05:30,63.55,65.7,55.7,64.2,538020,986800
2024-11-22 11:00:00+05:30,64.65,73.5,61.8,62.85,640130,986310
2024-11-22 11:03:00+05:30,63.65,73.1,61.35,70,482800,1029150
2024-11-22 11:06:00+05:30,70,83.15,60.8,65.4,643670,1017400
2024-11-22 11:09:00+05:30,64.8,65,47.2,47.2,623830,1008810
2024-11-22 11:12:00+05:30,47.45,56.45,43.05,54.8,709350,1045640
2024-11-22 11:15:00+05:30,53.85,56.5,40.3,43.45,755870,1070360
2024-11-22 11:18:00+05:30,43.75,48.8,43.15,47.2,459670,1092080
2024-11-22 11:21:00+05:30,47.25,52.8,46,48.6,488190,1075250
2024-11-22 11:24:00+05:30,48.55,51.6,46.2,51.6,400810,1064480
2024-11-22 11:27:00+05:30,52,61.35,51.5,55.9,673240,1066970
2024-11-22 11:30:00+05:30,55.95,61,55,58.5,483170,1048290
2024-11-22 11:33:00+05:30,57.9,61.9,54.75,54.75,476430,1080850
2024-11-22 11:36:00+05:30,55.2,90.2,53.25,80,904140,1073130
2024-11-22 11:39:00+05:30,79.2,110,79.2,94.3,1206610,1044690
2024-11-22 11:42:00+05:30,94.25,94.65,75.4,88.4,858670,974090
2024-11-22 11:45:00+05:30,87.5,101.55,85,87.35,675870,985250
2024-11-22 11:48:00+05:30,86.15,100.7,86.15,97,493130,947390
2024-11-22 11:51:00+05:30,97.25,124.4,89.05,108.15,884760,944770
2024-11-22 11:54:00+05:30,108.15,150,108.15,123.15,1026130,967140
2024-11-22 11:57:00+05:30,123.35,130.55,102,117.6,821570,918840
2024-11-22 12:00:00+05:30,118.55,123.8,109.6,114.35,424140,1028380
2024-11-22 12:03:00+05:30,114.4,180,112.45,157.4,941710,1047040
2024-11-22 12:06:00+05:30,162.2,215,160.8,171.4,1389440,1048050
2024-11-22 12:09:00+05:30,173.55,181.2,152.5,160.6,748670,974870
2024-11-22 12:12:00+05:30,160.6,169.85,143.45,166.95,601320,996680
2024-11-22 12:15:00+05:30,168.05,174.95,133.3,146.1,592740,1028730
2024-11-22 12:18:00+05:30,144.25,145.85,123.9,141.8,680120,1030280
2024-11-22 12:21:00+05:30,140.8,157.5,131.45,156.5,519620,1043100
2024-11-22 12:24:00+05:30,155.6,163.4,140.1,152.65,448230,1026210
2024-11-22 12:27:00+05:30,149.25,158.75,142,155.6,312510,1034160
2024-11-22 12:30:00+05:30,155.65,189.15,149.4,180,840630,1037870
