date,open,high,low,close,volume,oi
2024-10-24 09:15:00+05:30,218.9,227.05,169.05,201.4,52690,19910
2024-10-24 09:18:00+05:30,197.9,239.05,185,223.9,57910,19660
2024-10-24 09:21:00+05:30,227.4,236.85,175.5,193,53180,25310
2024-10-24 09:24:00+05:30,193.85,206.5,178.85,180.6,33370,36100
2024-10-24 09:27:00+05:30,183.85,207.5,171.6,194.95,46500,43510
2024-10-24 09:30:00+05:30,194.95,202.85,180.2,186.85,43570,48710
2024-10-24 09:33:00+05:30,186.85,240,186.85,227.4,66170,50640
2024-10-24 09:36:00+05:30,227.4,280.9,227.4,264.35,100230,50630
2024-10-24 09:39:00+05:30,267.2,315.6,246.7,289.95,108700,42800
2024-10-24 09:42:00+05:30,289.45,311.2,263.4,278.1,86370,48330
2024-10-24 09:45:00+05:30,278.65,293.55,259.7,270.1,54390,52830
2024-10-24 09:48:00+05:30,270.1,289.9,268,274.2,46170,65000
2024-10-24 09:51:00+05:30,274.2,288.7,223.1,241.7,91680,71500
2024-10-24 09:54:00+05:30,241.7,245.3,214.4,219.95,45430,74160
2024-10-24 09:57:00+05:30,219.95,227.15,197,199.5,56580,76020
2024-10-24 10:00:00+05:30,201.65,203.5,175.85,189.65,64100,74590
2024-10-24 10:03:00+05:30,190.6,213.5,187.1,187.35,33330,76830
2024-10-24 10:06:00+05:30,187.35,193.4,152.3,157.6,56060,80240
2024-10-24 10:09:00+05:30,159,172.9,152.9,167.55,48030,82490
2024-10-24 10:12:00+05:30,167.55,170.2,149.85,156.15,24310,79180
2024-10-24 10:15:00+05:30,156.15,167.5,150.8,166.6,18430,83810
2024-10-24 10:18:00+05:30,166.85,190.9,165,175.05,36580,84980
2024-10-24 10:21:00+05:30,177.2,184.95,168.85,181.45,19070,86740
2024-10-24 10:24:00+05:30,181.45,181.45,163.85,173.45,22190,87260
2024-10-24 10:27:00+05:30,171.5,171.5,156.25,161.05,21960,86710
2024-10-24 10:30:00+05:30,161,170.85,156,165,17710,86900
2024-10-24 10:33:00+05:30,164.1,165.95,147.65,150.4,24460,91880
2024-10-24 10:36:00+05:30,149.7,166.85,147.2,151.45,29260,95330
2024-10-24 10:39:00+05:30,149.5,154.1,141.7,149,22460,93610
