date,open,high,low,close,volume,oi
2024-10-23 09:15:00+05:30,417.9,417.9,289.8,298.2,77770,42720
2024-10-23 09:18:00+05:30,304.9,304.9,260.6,293.35,73300,49360
2024-10-23 09:21:00+05:30,287.85,306.75,273.7,295.3,30940,57950
2024-10-23 09:24:00+05:30,296.95,336.35,296.95,332,44610,64660
2024-10-23 09:27:00+05:30,331.55,332.6,269.05,288.8,47790,71750
2024-10-23 09:30:00+05:30,289.45,317.15,282.65,311.8,23620,69230
2024-10-23 09:33:00+05:30,311.75,323.8,295.4,298.45,31690,66420
2024-10-23 09:36:00+05:30,298.55,370.75,294.15,360,46400,73990
2024-10-23 09:39:00+05:30,357.4,446.7,357.4,422.2,87810,71700
2024-10-23 09:42:00+05:30,422.5,433.1,374.4,402.6,49200,68570
2024-10-23 09:45:00+05:30,401.3,401.3,322.1,328.9,63640,71470
2024-10-23 09:48:00+05:30,319.8,340.9,267.35,297.9,48160,78690
2024-10-23 09:51:00+05:30,297.25,303.95,251.15,271.3,33800,77480
2024-10-23 09:54:00+05:30,278,283.8,255.2,257.9,20540,76770
2024-10-23 09:57:00+05:30,257.9,286.6,254.65,279.9,16440,77370
2024-10-23 10:00:00+05:30,281.15,310.45,258.2,261.3,21170,79590
2024-10-23 10:03:00+05:30,261.05,268.35,233.85,249.15,19890,79520
2024-10-23 10:06:00+05:30,249.25,284.45,243.65,264.75,13490,80160
2024-10-23 10:09:00+05:30,267,269,253.2,262.25,7300,81940
2024-10-23 10:12:00+05:30,262.25,277,249.95,264.75,8760,79570
2024-10-23 10:15:00+05:30,265.1,273.3,219.15,226.85,21750,80400
2024-10-23 10:18:00+05:30,227,245.4,222,241.4,17330,79700
2024-10-23 10:21:00+05:30,242,289.9,240.8,277.25,25510,84690
2024-10-23 10:24:00+05:30,278.3,353.5,277,308.8,45310,80660
2024-10-23 10:27:00+05:30,313.3,324.5,289.3,297.55,33470,76290
2024-10-23 10:30:00+05:30,297,300,264.7,266.55,17540,76370
2024-10-23 10:33:00+05:30,267.2,285.1,263.9,280.9,11630,69110
2024-10-23 10:36:00+05:30,280.9,284.75,250,250,9860,69010
2024-10-23 10:39:00+05:30,248.15,255.15,237,250,10080,69830
2024-10-23 10:42:00+05:30,250,288.2,244.6,284.8,11790,70130
2024-10-23 10:45:00+05:30,285.25,290,252.85,256.05,15480,73100
2024-10-23 10:48:00+05:30,256.2,256.2,229.35,244.75,7590,75820
2024-10-23 10:51:00+05:30,244.3,255,232.85,254.8,21230,75540
2024-10-23 10:54:00+05:30,251.9,254.75,229.6,240.3,15800,86780
2024-10-23 10:57:00+05:30,240.05,248.55,233.55,241.55,11220,86280
2024-10-23 11:00:00+05:30,241.75,244.2,194.2,198,27870,90670
2024-10-23 11:03:00+05:30,195.2,200.75,186.45,198.85,20150,90310
2024-10-23 11:06:00+05:30,201.85,219.3,200.2,219.3,14690,96040
2024-10-23 11:09:00+05:30,220,249.95,218.7,248.2,18020,97140
2024-10-23 11:12:00+05:30,245.6,245.6,225.1,227.75,12650,98030
2024-10-23 11:15:00+05:30,230,243.35,225,235.95,13600,101800
2024-10-23 11:18:00+05:30,235.95,235.95,212,222.4,9110,102220
2024-10-23 11:21:00+05:30,221.9,224.2,211.45,217.65,5890,96420
2024-10-23 11:24:00+05:30,217.65,236.8,214.35,223.6,15230,96000
2024-10-23 11:27:00+05:30,223.6,223.6,209.35,212.3,7900,96600
2024-10-23 11:30:00+05:30,210.95,210.95,190,200.7,10700,96430
2024-10-23 11:33:00+05:30,200.7,201.55,188.85,201.45,8050,98700
2024-10-23 11:36:00+05:30,202.25,220,202.25,211.95,6960,100030
2024-10-23 11:39:00+05:30,209.35,221.55,208.7,214.55,4950,99170
2024-10-23 11:42:00+05:30,214.55,214.55,197.05,201.6,4390,98770
2024-10-23 11:45:00+05:30,202.45,203.3,179.9,191.9,7960,99550
2024-10-23 11:48:00+05:30,191.9,202,189.35,200,3660,99600
2024-10-23 11:51:00+05:30,201.5,205,197.8,197.8,4440,98910
2024-10-23 11:54:00+05:30,197.8,205.5,189.85,202.05,5700,98040
2024-10-23 11:57:00+05:30,202.05,211.95,195.75,200.35,7230,98230
2024-10-23 12:00:00+05:30,200.6,215.2,195.35,196,5830,95110
2024-10-23 12:03:00+05:30,196.25,214.15,194.9,212.65,6000,94990
2024-10-23 12:06:00+05:30,213.75,219.55,205.55,209.15,12100,94830
2024-10-23 12:09:00+05:30,209.15,236.5,208.8,236.5,10680,95100
2024-10-23 12:12:00+05:30,232.3,256.35,230.8,242.25,30710,94610
2024-10-23 12:15:00+05:30,242.15,297.3,242.15,278.1,42460,79680
2024-10-23 12:18:00+05:30,277,277,251.2,257.35,8990,79420
2024-10-23 12:21:00+05:30,254.25,271.55,246.05,259.5,8690,78740
2024-10-23 12:24:00+05:30,259.5,266.05,240,261.8,10710,78390
2024-10-23 12:27:00+05:30,261.8,262.5,241.2,242.75,3320,78450
2024-10-23 12:30:00+05:30,241,246.9,204,221.25,18460,79310
2024-10-23 12:33:00+05:30,219.65,224.15,203.35,220.05,8190,80200
2024-10-23 12:36:00+05:30,219.4,221.35,207.7,208.1,5460,82990
2024-10-23 12:39:00+05:30,209.45,209.65,188.6,196.4,10920,84460
2024-10-23 12:42:00+05:30,196.4,206.8,195.6,197.45,5780,83770
2024-10-23 12:45:00+05:30,197.45,206.8,187.15,189.25,10260,83880
2024-10-23 12:48:00+05:30,188.35,189.85,177,184.75,13780,86280
2024-10-23 12:51:00+05:30,184.75,191.7,178,190.35,7810,83580
2024-10-23 12:54:00+05:30,190.35,198.8,189.1,197.45,12630,83680
2024-10-23 12:57:00+05:30,198.6,199.6,186.75,188,4920,84130
2024-10-23 13:00:00+05:30,187.95,211,187.55,210.35,11340,84130
2024-10-23 13:03:00+05:30,210.35,223.75,199.95,199.95,11370,83470
2024-10-23 13:06:00+05:30,199.95,202.1,188.35,190,4700,84400
2024-10-23 13:09:00+05:30,189.9,206.55,186,206.55,7260,83140
2024-10-23 13:12:00+05:30,205.3,209.65,197.2,199.9,6890,86870
2024-10-23 13:15:00+05:30,198.7,210.5,197.15,198,5460,87230
2024-10-23 13:18:00+05:30,198,205.1,190.3,202.9,12160,87040
2024-10-23 13:21:00+05:30,202.7,210,197.8,198.15,7350,86740
2024-10-23 13:24:00+05:30,198.15,206.75,198.15,202,3260,91660
2024-10-23 13:27:00+05:30,202,207.4,196.15,200.8,2350,91150
2024-10-23 13:30:00+05:30,200.8,222.05,191.6,214.1,13080,90970
2024-10-23 13:33:00+05:30,217.25,223.8,178.75,182.55,15540,91250
2024-10-23 13:36:00+05:30,184.35,202.95,179.1,202.4,10280,88340
2024-10-23 13:39:00+05:30,202.4,230.35,202.4,210.8,20230,87710
