date,open,high,low,close,volume,oi
2024-09-23 09:15:00+05:30,182.1,193.6,165.35,165.35,156025,106875
2024-09-23 09:16:00+05:30,164.6,173.6,163.8,167.25,138600,106875
2024-09-23 09:17:00+05:30,168.2,176.95,167,175,116025,106875
2024-09-23 09:18:00+05:30,175.7,179.6,172.6,178.1,110975,236875
2024-09-23 09:19:00+05:30,178.1,178.4,170,170,80875,236875
2024-09-23 09:20:00+05:30,169.35,175.3,167.25,167.25,94475,236875
2024-09-23 09:21:00+05:30,167.2,174,166.1,171.35,63675,313150
2024-09-23 09:22:00+05:30,171.35,174.55,170.8,173.75,45825,313150
2024-09-23 09:23:00+05:30,174.5,174.8,161.25,163.15,91050,313150
2024-09-23 09:24:00+05:30,163.15,167.95,159.65,167.95,143425,355575
2024-09-23 09:25:00+05:30,167.25,171.6,166.05,168.1,101975,355575
2024-09-23 09:26:00+05:30,168.1,168.65,162.05,163.7,62900,355575
2024-09-23 09:27:00+05:30,163.35,170.45,163.35,170.25,51625,434650
2024-09-23 09:28:00+05:30,170.5,174.15,169.3,173.55,63350,434650
2024-09-23 09:29:00+05:30,173.25,174,167.4,169.75,62150,434650
2024-09-23 09:30:00+05:30,169.75,169.8,163.6,165.1,60300,456800
2024-09-23 09:31:00+05:30,165,165,157.1,158.95,106000,456800
2024-09-23 09:32:00+05:30,158.95,165.35,157.95,157.95,55350,456800
2024-09-23 09:33:00+05:30,157.6,160.4,156.45,160.25,55875,543525
2024-09-23 09:34:00+05:30,160.85,164.8,158.15,164.6,100300,543525
2024-09-23 09:35:00+05:30,164.2,171.45,163,171.45,93075,543525
2024-09-23 09:36:00+05:30,170.95,171.8,167,170.95,79075,548675
2024-09-23 09:37:00+05:30,170.55,173.3,165.7,168.5,85225,548675
2024-09-23 09:38:00+05:30,168.25,169,159.05,160.8,80625,548675
2024-09-23 09:39:00+05:30,161.6,163.1,158.35,161.9,45100,556650
2024-09-23 09:40:00+05:30,161.5,164.6,159.95,164.2,46050,556650
2024-09-23 09:41:00+05:30,163.7,166.65,161.75,166.65,83825,556650
2024-09-23 09:42:00+05:30,167.1,172.55,164.55,166.85,76950,616275
