date,open,high,low,close,volume,oi
2024-09-24 09:15:00+05:30,325,333.5,303.85,304.75,20975,182700
2024-09-24 09:16:00+05:30,304.75,306.15,296,299.4,18550,182700
2024-09-24 09:17:00+05:30,299.4,303,294.85,299.1,8525,182700
2024-09-24 09:18:00+05:30,299.1,309.65,299.1,308.3,25300,208100
2024-09-24 09:19:00+05:30,308.3,308.3,293.9,296,9850,208100
2024-09-24 09:20:00+05:30,296,300.5,290,298.9,9275,208100
2024-09-24 09:21:00+05:30,298.9,301.7,293.05,295.15,15350,222850
2024-09-24 09:22:00+05:30,295.15,295.15,285,288.95,13475,222850
2024-09-24 09:23:00+05:30,288.95,288.95,281.2,284.7,13725,222850
2024-09-24 09:24:00+05:30,284.7,292.3,284.7,292.3,9625,233950
2024-09-24 09:25:00+05:30,292.3,296.2,290.05,291.8,6200,233950
2024-09-24 09:26:00+05:30,291.8,298.5,289.9,297.95,9975,233950
2024-09-24 09:27:00+05:30,297.95,299.6,294,296.25,4975,237500
2024-09-24 09:28:00+05:30,296.25,297.9,291,295,5350,237500
2024-09-24 09:29:00+05:30,295,295.8,288.3,290.8,4575,237500
2024-09-24 09:30:00+05:30,290.8,300.1,287.45,293.2,25375,245675
2024-09-24 09:31:00+05:30,293.2,297.8,293,295.55,4300,245675
2024-09-24 09:32:00+05:30,295.55,297.75,292.1,296.4,1625,245675
2024-09-24 09:33:00+05:30,296.45,296.6,290.4,291.5,3950,245825
2024-09-24 09:34:00+05:30,291.5,291.7,285.8,290,5525,245825
2024-09-24 09:35:00+05:30,290,292.05,283.65,289.3,6475,245825
2024-09-24 09:36:00+05:30,289.3,290.6,283.65,285.8,8525,247125
2024-09-24 09:37:00+05:30,284.85,287.1,275.8,280.4,22075,247125
2024-09-24 09:38:00+05:30,280.4,287.6,278,287.55,31050,247125
2024-09-24 09:39:00+05:30,287.55,290.85,284.8,285.6,13225,272675
2024-09-24 09:40:00+05:30,285.6,289.45,282,288.45,22950,272675
2024-09-24 09:41:00+05:30,288.45,291.65,287.05,289.5,7550,272675
2024-09-24 09:42:00+05:30,289.5,290,282.5,285.15,6075,278300
2024-09-24 09:43:00+05:30,285.15,285.15,269.75,269.75,16175,278300
2024-09-24 09:44:00+05:30,269.75,275.8,269.15,272.85,21675,278300
2024-09-24 09:45:00+05:30,272.85,278.35,270.9,272.55,10275,294300
2024-09-24 09:46:00+05:30,271,274.25,268,269.95,10900,294300
2024-09-24 09:47:00+05:30,269.9,272.95,265.5,272,22750,294300
2024-09-24 09:48:00+05:30,269.5,272,268,270.35,8475,311600
2024-09-24 09:49:00+05:30,270.35,275,268,275,25875,311600
2024-09-24 09:50:00+05:30,275,279.9,271.9,271.9,14400,311600
2024-09-24 09:51:00+05:30,270,272.45,268.6,270,19425,330025
2024-09-24 09:52:00+05:30,270.35,271.35,264.45,266.75,8950,330025
2024-09-24 09:53:00+05:30,266.25,269.3,263.55,268.7,25050,330025
2024-09-24 09:54:00+05:30,268.7,271.25,260.7,260.7,17525,344900
2024-09-24 09:55:00+05:30,261.05,263.5,258.95,260.3,19375,344900
2024-09-24 09:56:00+05:30,260.3,262.35,255,255.95,16725,344900
2024-09-24 09:57:00+05:30,256,262,255.05,257,21125,361525
2024-09-24 09:58:00+05:30,257,259.8,254.9,255.55,11800,361525
2024-09-24 09:59:00+05:30,255.55,263.1,255.55,263.1,21650,361525
2024-09-24 10:00:00+05:30,263.1,266.65,259.35,264.9,36400,371200
2024-09-24 10:01:00+05:30,264.9,265.7,262,262.45,14325,371200
2024-09-24 10:02:00+05:30,262.45,264.15,260.35,262.25,8825,371200
2024-09-24 10:03:00+05:30,263.3,268.4,261.5,265.85,8325,378200
2024-09-24 10:04:00+05:30,265.4,265.4,257.65,258.2,10675,378200
2024-09-24 10:05:00+05:30,258.2,259.6,256.9,258.9,8975,378200
2024-09-24 10:06:00+05:30,258.9,259.95,249,250.65,31975,384675
