date,open,high,low,close,volume,oi
2024-10-21 09:15:00+05:30,219,234,200.2,219.1,588450,2759200
2024-10-21 09:18:00+05:30,219.1,219.1,188.7,199.4,522425,2702650
2024-10-21 09:21:00+05:30,199.4,201.8,186.4,197.85,352025,2695300
2024-10-21 09:24:00+05:30,197.85,200.55,181.15,188.45,259750,2693675
2024-10-21 09:27:00+05:30,187.8,189.95,173.7,174.7,308625,2713775
2024-10-21 09:30:00+05:30,175.65,179.95,158.85,161.9,484450,2760475
2024-10-21 09:33:00+05:30,162.1,165.2,131.2,136.3,1150200,2821275
2024-10-21 09:36:00+05:30,136.3,146.55,129.25,131.1,1301225,3052800
2024-10-21 09:39:00+05:30,132.1,135.45,115.6,116.65,1296850,3337775
2024-10-21 09:42:00+05:30,116.65,117.4,102.9,114.4,1575975,3617350
2024-10-21 09:45:00+05:30,114.4,114.4,97,109,1678050,4043700
2024-10-21 09:48:00+05:30,109,109.55,87.6,95.35,1884900,4358325
2024-10-21 09:51:00+05:30,95.35,99.75,83.65,96,1692000,4755175
2024-10-21 09:54:00+05:30,96,104.7,94.25,95.2,1118350,4974525
2024-10-21 09:57:00+05:30,95.2,108.1,94.65,102.8,1302950,5047650
2024-10-21 10:00:00+05:30,102.8,120.55,100.3,117.15,1878400,5094900
2024-10-21 10:03:00+05:30,117.2,137.85,116.15,131.4,2652175,4853600
2024-10-21 10:06:00+05:30,131.4,173.35,130.45,171.9,3031700,4663550
2024-10-21 10:09:00+05:30,172.25,175.65,129.1,130.15,2148150,4265175
2024-10-21 10:12:00+05:30,130.4,134.2,114.75,134.2,1635675,4181075
2024-10-21 10:15:00+05:30,134.2,135.95,123.55,125.35,998550,4267075
2024-10-21 10:18:00+05:30,125.35,133.3,119.35,123.65,614075,4354150
2024-10-21 10:21:00+05:30,123.65,135.95,123.65,135.2,1041950,4408325
2024-10-21 10:24:00+05:30,134.95,141.95,130.9,139.45,1143950,4475650
2024-10-21 10:27:00+05:30,139.45,140.35,120.85,124.35,1055475,4491150
2024-10-21 10:30:00+05:30,123.95,129.6,120.4,122.75,626325,4594850
2024-10-21 10:33:00+05:30,123,125.05,111.45,122.55,1001800,4727450
2024-10-21 10:36:00+05:30,122.55,126.8,120.95,124.9,550100,4804750
2024-10-21 10:39:00+05:30,124.9,129.9,121.3,125.2,623100,4875725
2024-10-21 10:42:00+05:30,125.2,129.8,118.4,128.4,779825,4935775
2024-10-21 10:45:00+05:30,128.4,131.75,120.5,128.6,890525,4992175
2024-10-21 10:48:00+05:30,128.3,134,120.35,122.85,770275,5122100
2024-10-21 10:51:00+05:30,122.85,125.5,118.25,119.55,466300,5123800
2024-10-21 10:54:00+05:30,119.55,130.2,118.5,127.2,564050,5173850
2024-10-21 10:57:00+05:30,128,128.95,122.9,124.3,498275,5264125
2024-10-21 11:00:00+05:30,124.35,136.9,121.7,133.8,1136025,5411550
2024-10-21 11:03:00+05:30,133.6,135.45,126.2,127.9,865350,5528550
2024-10-21 11:06:00+05:30,127.75,129.55,118.7,122.65,851625,5630725
2024-10-21 11:09:00+05:30,122.65,122.65,110.65,112.8,1001400,5628625
2024-10-21 11:12:00+05:30,112.8,120.25,112.3,118.35,634675,5590350
2024-10-21 11:15:00+05:30,118.35,121.1,113.7,114.4,528600,5598475
2024-10-21 11:18:00+05:30,114.55,116.75,107.05,111.8,797850,5618050
2024-10-21 11:21:00+05:30,111.6,115.15,107.4,114.05,571050,5588325
2024-10-21 11:24:00+05:30,114.2,115.75,105.85,109.8,592300,5556150
2024-10-21 11:27:00+05:30,109.8,115,107,112.1,572425,5540525
2024-10-21 11:30:00+05:30,111.95,113.2,95.15,97.4,1130850,5584775
2024-10-21 11:33:00+05:30,97.25,100.8,94.15,96.25,946700,5608600
2024-10-21 11:36:00+05:30,96.95,103.05,95.8,102.1,625900,5622525
2024-10-21 11:39:00+05:30,102.1,104.95,98.15,102.75,483025,5615525
2024-10-21 11:42:00+05:30,102.75,106,98.6,99.4,519850,5648925
2024-10-21 11:45:00+05:30,99.35,101,89.65,99.15,880975,5729550
2024-10-21 11:48:00+05:30,99.15,100.3,95.75,98.5,436650,5785525
2024-10-21 11:51:00+05:30,98.5,98.65,91.8,96.6,584575,5861700
2024-10-21 11:54:00+05:30,96.5,101.35,96.15,96.6,469425,5897575
2024-10-21 11:57:00+05:30,96.6,97.5,88.3,88.55,814575,5967775
2024-10-21 12:00:00+05:30,88.9,92.75,85.1,92,843150,6080550
2024-10-21 12:03:00+05:30,91.55,91.9,85.55,88.6,475275,6132250
2024-10-21 12:06:00+05:30,88.6,90.6,85,88.5,530450,6122725
2024-10-21 12:09:00+05:30,88.5,94.15,87.7,88.05,461975,6156600
2024-10-21 12:12:00+05:30,88,89.35,80.6,80.6,839100,6292875
2024-10-21 12:15:00+05:30,80.7,85.65,78.2,83.05,904975,6376150
2024-10-21 12:18:00+05:30,82.65,88.6,82.65,87.7,518625,6392275
2024-10-21 12:21:00+05:30,87.25,88,81.85,87.3,458625,6440550
2024-10-21 12:24:00+05:30,87.65,91.5,86.6,89.5,678800,6489700
2024-10-21 12:27:00+05:30,89.6,92.3,87.7,89.25,497325,6577750
2024-10-21 12:30:00+05:30,88.55,92.6,83.5,91.65,609600,6587325
2024-10-21 12:33:00+05:30,91.15,92.05,87.5,89.9,485675,6612825
2024-10-21 12:36:00+05:30,89.9,89.9,81.75,87.25,792950,6641125
2024-10-21 12:39:00+05:30,86.75,87.45,82.7,84.25,270475,6583025
2024-10-21 12:42:00+05:30,84.1,91.65,81.85,90.75,449575,6595175
2024-10-21 12:45:00+05:30,90.7,91.7,86.6,88.1,424200,6601850
2024-10-21 12:48:00+05:30,87.1,87.45,79.1,80.7,637375,6601475
2024-10-21 12:51:00+05:30,80.65,84.5,79.55,83.95,367950,6634775
2024-10-21 12:54:00+05:30,83.35,84.7,76,78.2,477700,6649850
2024-10-21 12:57:00+05:30,78.2,82.15,75.75,77.9,471125,6639975
2024-10-21 13:00:00+05:30,77.45,81.35,74.4,79.8,547975,6723425
2024-10-21 13:03:00+05:30,79.8,80.45,77.35,78.7,224950,6762150
2024-10-21 13:06:00+05:30,78.75,80.05,75.4,78.75,326475,6765225
2024-10-21 13:09:00+05:30,78.75,85.55,77.8,83,624050,6721100
2024-10-21 13:12:00+05:30,83.25,87.3,82.5,84.6,505950,6773050
2024-10-21 13:15:00+05:30,84.55,101.1,84.55,100.85,1467225,6750750
2024-10-21 13:18:00+05:30,100.75,119.95,97.2,119.4,2455775,6588425
2024-10-21 13:21:00+05:30,120,120,107.45,110.8,1669825,6246975
2024-10-21 13:24:00+05:30,110.8,112.35,101.3,104.45,955825,6254100
2024-10-21 13:27:00+05:30,103.8,104.5,90.3,90.3,1216675,6245850
2024-10-21 13:30:00+05:30,90.95,95.2,89.25,90.55,787325,6283775
2024-10-21 13:33:00+05:30,91.2,96.5,90.25,94,850725,6255400
2024-10-21 13:36:00+05:30,94,96.3,86.85,95.1,827600,6215475
2024-10-21 13:39:00+05:30,94.65,96.95,90.8,93.95,545450,6291275
2024-10-21 13:42:00+05:30,93.55,99,88.35,97,639525,6307275
2024-10-21 13:45:00+05:30,96.85,103.65,92.4,95.25,976925,6335275
2024-10-21 13:48:00+05:30,95.4,104.75,95.4,104.15,842450,6359800
2024-10-21 13:51:00+05:30,104,116.2,103,111.5,1573675,6340850
2024-10-21 13:54:00+05:30,111,128.95,109.75,126.1,1896900,6335775
2024-10-21 13:57:00+05:30,126.4,144,125.3,143.15,2453125,6046525
2024-10-21 14:00:00+05:30,144.9,162.75,142,145.45,3136050,5244825
2024-10-21 14:03:00+05:30,146.1,146.6,131.35,133.45,1125125,5035650
2024-10-21 14:06:00+05:30,133.25,137.1,121.65,125.35,1014850,4989875
2024-10-21 14:09:00+05:30,125.3,129.9,117.1,123.35,826700,5044575
2024-10-21 14:12:00+05:30,122.9,128.65,118,119.15,721700,5079350
2024-10-21 14:15:00+05:30,118.85,126,113.3,115.55,796900,5047100
2024-10-21 14:18:00+05:30,115.35,127.1,115,125.7,753825,5097950
