date,open,high,low,close,volume,oi
2024-11-04 09:15:00+05:30,103.65,114.15,54.55,62.6,1320650,683950
2024-11-04 09:18:00+05:30,62.6,72.3,59.45,61.8,1418150,1130150
2024-11-04 09:21:00+05:30,61.8,64.5,57.1,58.6,1473850,1433700
2024-11-04 09:24:00+05:30,58.75,62.9,53.5,62,2072350,1833850
2024-11-04 09:27:00+05:30,62,63.2,39,39,2982400,2206950
2024-11-04 09:30:00+05:30,39,50.65,38.2,48.8,3483200,2531000
2024-11-04 09:33:00+05:30,48.1,52.55,41.65,51.35,2550000,2717800
2024-11-04 09:36:00+05:30,51.8,52.85,45.1,50.5,1611700,2901150
2024-11-04 09:39:00+05:30,50.95,52.05,35.2,39.4,2948750,3041400
2024-11-04 09:42:00+05:30,39.4,44,38.3,40.35,2216250,3185350
2024-11-04 09:45:00+05:30,40.35,42.65,38.2,40.6,1938650,3522850
2024-11-04 09:48:00+05:30,40.25,45.8,39.15,43.15,1928100,3661400
2024-11-04 09:51:00+05:30,43,46.3,38.4,39,1747650,3722300
2024-11-04 09:54:00+05:30,38.9,47.5,37.15,44.35,2105400,3835700
2024-11-04 09:57:00+05:30,44.35,51,41.2,49.5,2229650,4095350
2024-11-04 10:00:00+05:30,49.5,57.2,42.4,42.75,3935900,3688300
2024-11-04 10:03:00+05:30,42.75,42.85,34.65,40.15,2844550,3914150
2024-11-04 10:06:00+05:30,39.8,41.65,34.2,35.4,2348450,4112550
2024-11-04 10:09:00+05:30,35.35,39.7,34.8,37.15,1738150,4160350
2024-11-04 10:12:00+05:30,37.1,38.1,32.55,35.65,2316550,4401600
2024-11-04 10:15:00+05:30,35.6,36.4,32.35,35.05,1813800,4577550
2024-11-04 10:18:00+05:30,35.1,36.3,31.4,33.95,1898550,4793350
2024-11-04 10:21:00+05:30,34.15,34.15,30.45,32.4,1939650,5035450
2024-11-04 10:24:00+05:30,32.15,32.35,26.15,26.75,3563850,5245450
2024-11-04 10:27:00+05:30,26.5,27.7,25.5,25.9,2698200,5332000
2024-11-04 10:30:00+05:30,25.7,28.3,24,26.35,2508600,5500700
2024-11-04 10:33:00+05:30,26.1,26.1,20.3,21.05,3325350,5933600
2024-11-04 10:36:00+05:30,21.15,21.7,18.1,19.2,4172550,6318150
2024-11-04 10:39:00+05:30,19.1,22.15,18.35,20.3,2816450,6379550
2024-11-04 10:42:00+05:30,20.2,20.2,18.25,19.35,1981200,6533700
2024-11-04 10:45:00+05:30,19.45,21.35,17.65,20.8,2725700,6715400
2024-11-04 10:48:00+05:30,20.8,21.45,19.05,19.2,2065300,6797650
2024-11-04 10:51:00+05:30,19,19.25,17.25,18.6,1898700,6868750
