instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
8982786,35089,NIFTY24NOVFUT,NIFTY,0.0,2024-11-28,0.0,0.05,25,FUT,NFO-FUT,NFO
8961282,35005,NIFTY24DECFUT,NIFTY,0.0,2024-12-26,0.0,0.05,25,FUT,NFO-FUT,NFO
8961538,35006,NIFTY25JANFUT,NIFTY,0.0,2025-01-30,0.0,0.05,25,FUT,NFO-FUT,NFO
8963330,35013,BANKNIFTY24NOVFUT,BANKNIFTY,0.0,2024-11-27,0.0,0.05,15,FUT,NFO-FUT,NFO
8966402,35025,BANKNIFTY24DECFUT,BANKNIFTY,0.0,2024-12-24,0.0,0.05,15,FUT,NFO-FUT,NFO
8963074,35012,BANKNIFTY25JANFUT,BANKNIFTY,0.0,2025-01-29,0.0,0.05,15,FUT,NFO-FUT,NFO
8993026,35129,AARTIIND24NOVFUT,AARTIIND,0.0,2024-11-28,0.0,0.05,1000,FUT,NFO-FUT,NFO
8967170,35028,AARTIIND24DECFUT,AARTIIND,0.0,2024-12-26,0.0,0.05,1000,FUT,NFO-FUT,NFO
8970754,35042,AARTIIND25JANFUT,AARTIIND,0.0,2025-01-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
8995074,35137,ABB24NOVFUT,ABB,0.0,2024-11-28,0.0,0.05,125,FUT,NFO-FUT,NFO
8967426,35029,ABB24DECFUT,ABB,0.0,2024-12-26,0.0,0.05,125,FUT,NFO-FUT,NFO
8971010,35043,ABB25JANFUT,ABB,0.0,2025-01-30,0.0,0.05,125,FUT,NFO-FUT,NFO
9082114,35477,ABBOTINDIA24NOVFUT,ABBOTINDIA,0.0,2024-11-28,0.0,0.05,20,FUT,NFO-FUT,NFO
8967682,35030,ABBOTINDIA24DECFUT,ABBOTINDIA,0.0,2024-12-26,0.0,0.05,20,FUT,NFO-FUT,NFO
8981762,35085,ABBOTINDIA25JANFUT,ABBOTINDIA,0.0,2025-01-30,0.0,0.05,20,FUT,NFO-FUT,NFO
9082370,35478,ABCAPITAL24NOVFUT,ABCAPITAL,0.0,2024-11-28,0.0,0.01,2700,FUT,NFO-FUT,NFO
8967938,35031,ABCAPITAL24DECFUT,ABCAPITAL,0.0,2024-12-26,0.0,0.01,2700,FUT,NFO-FUT,NFO
8982018,35086,ABCAPITAL25JANFUT,ABCAPITAL,0.0,2025-01-30,0.0,0.01,2700,FUT,NFO-FUT,NFO
9111554,35592,ABFRL24NOVFUT,ABFRL,0.0,2024-11-28,0.0,0.05,2600,FUT,NFO-FUT,NFO
8972034,35047,ABFRL24DECFUT,ABFRL,0.0,2024-12-26,0.0,0.05,2600,FUT,NFO-FUT,NFO
8992514,35127,ABFRL25JANFUT,ABFRL,0.0,2025-01-30,0.0,0.05,2600,FUT,NFO-FUT,NFO
9111810,35593,ACC24NOVFUT,ACC,0.0,2024-11-28,0.0,0.05,300,FUT,NFO-FUT,NFO
8972290,35048,ACC24DECFUT,ACC,0.0,2024-12-26,0.0,0.05,300,FUT,NFO-FUT,NFO
